#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Dbuz04904-RA         -           1068 30510at7147          -            730         0 1164.0   5.5   1   2  4.2e-289  4.8e-286  950.2   0.4    13   569   242   849   233   864 0.93 -
Dbuz04904-RA         -           1068 30510at7147          -            730         0 1164.0   5.5   2   2   1.8e-65     2e-62  210.9   0.6   567   730   877  1052   851  1052 0.94 -
Dbuz02585-RA         -           2167 30510at7147          -            730  3.6e-126  421.7   3.3   1   1    6e-126  6.9e-123  410.9   3.3    39   698   284  1012   261  1036 0.79 -
Dbuz00846-RA         -           2178 30510at7147          -            730   1.2e-69  234.9   0.6   1   3   8.1e-33   9.4e-30  103.0   2.1    58   546   496  1011   489  1036 0.68 -
Dbuz00846-RA         -           2178 30510at7147          -            730   1.2e-69  234.9   0.6   2   3   1.6e-21   1.9e-18   65.6   0.0    62   235  1350  1532  1344  1537 0.79 -
Dbuz00846-RA         -           2178 30510at7147          -            730   1.2e-69  234.9   0.6   3   3   1.4e-19   1.6e-16   59.2   0.0   281   475  1562  1765  1548  1854 0.70 -
Dbuz05098-RA         -           1067 30510at7147          -            730   6.7e-27   93.5   0.0   1   1   2.7e-28   3.1e-25   88.0   0.0    59   458   175   602   167   642 0.75 -
Dbuz01248-RA         -           1193 30510at7147          -            730   5.9e-23   80.5   0.0   1   2     0.034        39    1.7   0.0    59    82   272   295   262   305 0.85 -
Dbuz01248-RA         -           1193 30510at7147          -            730   5.9e-23   80.5   0.0   2   2   2.3e-24   2.6e-21   75.0   0.0   164   460   364   703   344   748 0.68 -
Dbuz05079-RA         -            714 30510at7147          -            730   1.5e-17   62.7   0.0   1   1   1.9e-20   2.1e-17   62.1   0.0    54   240   488   692   456   701 0.81 -
Dbuz06764-RA         -           1054 30510at7147          -            730   8.6e-07   27.0   0.2   1   2     0.003       3.5    5.2   0.0    57   127    31    98     6   162 0.73 -
Dbuz06764-RA         -           1054 30510at7147          -            730   8.6e-07   27.0   0.2   2   2   1.7e-07   0.00019   19.3   0.1   343   418   284   354   248   374 0.89 -
Dbuz09116-RA         -           1775 30510at7147          -            730   1.2e-05   23.2   0.2   1   1   4.6e-08   5.3e-05   21.1   0.2   280   439  1061  1203  1038  1236 0.76 -
Dbuz03816-RA         -           1379 30510at7147          -            730   4.3e-05   21.4   0.1   1   2    0.0071       8.3    4.0   0.0    63   212    72   221    64   240 0.64 -
Dbuz03816-RA         -           1379 30510at7147          -            730   4.3e-05   21.4   0.1   2   2   3.9e-06    0.0045   14.8   0.1   349   456   475   576   439   584 0.79 -
Dbuz01512-RA         -           1401 30510at7147          -            730   0.00042   18.2   0.1   1   2       1.3   1.5e+03   -3.5   0.0   143   177   739   775   664   778 0.52 -
Dbuz01512-RA         -           1401 30510at7147          -            730   0.00042   18.2   0.1   2   2   1.1e-06    0.0012   16.6   0.0   310   443   856   983   843  1030 0.85 -
Dbuz08403-RA         -            665 30510at7147          -            730    0.0089   13.8   0.1   1   1   1.3e-05     0.015   13.1   0.1   347   468   270   387   257   423 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/30510at7147.hmm
# Target file:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/Dbuz_proteins.fasta
# Option settings: /home/nmoreyra/Software/miniconda3/envs/busco4/bin/hmmsearch --domtblout /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/Dbuz_diptera/run_diptera_odb10/hmmer_output/initial_run_results/30510at7147.out --cpu 1 /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/30510at7147.hmm /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/Dbuz_proteins.fasta 
# Current dir:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10
# Date:            Mon Jan 25 13:19:38 2021
# [ok]
