#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FBtr0072597          -           1227 97116at2759          -            956         0 1273.7   0.0   1   3  8.6e-241    4e-237  788.9   0.0     1   547     1   648     1   656 0.91 -
FBtr0072597          -           1227 97116at2759          -            956         0 1273.7   0.0   2   3   5.4e-49   2.5e-45  154.1   0.0   544   676   671   824   668   844 0.87 -
FBtr0072597          -           1227 97116at2759          -            956         0 1273.7   0.0   3   3  3.6e-101   1.7e-97  326.7   0.0   677   956   869  1226   845  1226 0.81 -
FBtr0082709          -           1140 97116at2759          -            956   7.5e-55  185.6   1.2   1   2     2e-38   9.3e-35  119.1   0.1   188   657   209   725   123   745 0.78 -
FBtr0082709          -           1140 97116at2759          -            956   7.5e-55  185.6   1.2   2   2   3.2e-22   1.5e-18   65.4   0.1   720   931   857  1100   845  1116 0.76 -
FBtr0089258          -           1455 97116at2759          -            956   2.9e-16   57.9   4.6   1   4   1.9e-05     0.088    9.9   0.1   253   343   352   452   345   480 0.70 -
FBtr0089258          -           1455 97116at2759          -            956   2.9e-16   57.9   4.6   2   4   1.4e-11   6.4e-08   30.3   0.1   348   446   531   640   515   691 0.81 -
FBtr0089258          -           1455 97116at2759          -            956   2.9e-16   57.9   4.6   3   4     0.022     1e+02   -0.2   0.0   723   786  1175  1244  1164  1254 0.73 -
FBtr0089258          -           1455 97116at2759          -            956   2.9e-16   57.9   4.6   4   4   3.2e-07    0.0015   15.8   0.0   860   948  1343  1434  1285  1442 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/busco_downloads/lineages/eukaryota_odb10/hmms/97116at2759.hmm
# Target file:     /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/00_proteins/Dmel.fasta
# Option settings: hmmsearch --domtblout /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/Results/00_proteins/Dmel/run_eukaryota_odb10/hmmer_output/initial_run_results/97116at2759.out --cpu 1 /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/busco_downloads/lineages/eukaryota_odb10/hmms/97116at2759.hmm /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/00_proteins/Dmel.fasta 
# Current dir:     /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023
# Date:            Thu Mar 23 14:23:05 2023
# [ok]
