# BUSCO version is: 5.4.6 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	Dbuz00870-RA	2126.1	1445
83779at2759	Fragmented	Dbuz11431-RA	77.9	76
87842at2759	Complete	Dbuz12011-RA	443.4	605
97116at2759	Complete	Dbuz03608-RA	1268.9	955
100698at2759	Complete	Dbuz06731-RA	855.7	498
142542at2759	Complete	Dbuz03628-RA	711.1	681
156083at2759	Complete	Dbuz04803-RA	3787.0	1943
160593at2759	Complete	Dbuz12744-RA	1649.4	1371
166920at2759	Complete	Dbuz09231-RA	583.6	745
176625at2759	Complete	Dbuz01834-RA	257.8	467
179362at2759	Complete	Dbuz09860-RA	611.9	1298
245208at2759	Complete	Dbuz02215-RA	1542.7	878
257318at2759	Complete	Dbuz09427-RA	277.0	304
261328at2759	Complete	Dbuz09829-RA	434.2	435
261419at2759	Complete	Dbuz06813-RA	350.9	510
270107at2759	Complete	Dbuz05992-RA	483.2	744
271586at2759	Complete	Dbuz11989-RA	243.1	376
290630at2759	Complete	Dbuz12278-RA	676.7	655
293315at2759	Complete	Dbuz01565-RA	629.0	590
296129at2759	Complete	Dbuz08284-RA	996.3	698
299766at2759	Complete	Dbuz03622-RA	453.5	456
306227at2759	Missing
320059at2759	Complete	Dbuz04551-RA	895.6	451
324863at2759	Complete	Dbuz08680-RA	610.8	563
325552at2759	Complete	Dbuz06797-RA	485.5	458
330169at2759	Complete	Dbuz01605-RA	340.0	336
331411at2759	Complete	Dbuz06923-RA	436.3	400
341721at2759	Complete	Dbuz01716-RA	294.7	409
345441at2759	Complete	Dbuz03549-RA	456.3	380
355408at2759	Complete	Dbuz08103-RA	795.4	545
369837at2759	Complete	Dbuz10321-RA	271.4	419
375960at2759	Complete	Dbuz04852-RA	293.2	365
383503at2759	Complete	Dbuz03243-RA	342.5	410
388820at2759	Complete	Dbuz02797-RA	567.5	641
390348at2759	Complete	Dbuz01400-RA	1205.7	737
392369at2759	Complete	Dbuz04626-RA	378.1	380
396755at2759	Complete	Dbuz06401-RA	244.2	578
418107at2759	Complete	Dbuz03486-RA	456.1	345
426305at2759	Complete	Dbuz06096-RA	532.3	558
450058at2759	Complete	Dbuz02182-RA	229.7	280
453044at2759	Complete	Dbuz11648-RA	347.4	343
457861at2759	Complete	Dbuz06477-RA	99.0	150
464990at2759	Complete	Dbuz12059-RA	337.8	321
491869at2759	Complete	Dbuz03287-RA	247.3	259
513979at2759	Complete	Dbuz00458-RA	151.8	195
543764at2759	Complete	Dbuz05228-RA	201.2	226
549762at2759	Complete	Dbuz11707-RA	362.9	367
551907at2759	Complete	Dbuz04366-RA	251.8	394
570797at2759	Complete	Dbuz09412-RA	549.8	492
582756at2759	Complete	Dbuz10295-RA	284.8	380
598949at2759	Complete	Dbuz12231-RA	465.4	379
604979at2759	Complete	Dbuz12712-RA	460.5	283
621827at2759	Complete	Dbuz08109-RA	318.7	346
625387at2759	Complete	Dbuz09931-RA	303.4	393
655400at2759	Complete	Dbuz04616-RA	269.4	283
664730at2759	Complete	Dbuz02455-RA	644.7	343
671536at2759	Complete	Dbuz01607-RA	527.6	367
