# BUSCO version is: 5.4.6 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	FBtr0084408	2126.9	1474
83779at2759	Complete	FBtr0299924	221.5	238
87842at2759	Complete	FBtr0070269	457.3	621
97116at2759	Complete	FBtr0072597	1273.7	957
100698at2759	Complete	FBtr0076253	856.5	498
142542at2759	Complete	FBtr0076361	732.0	658
156083at2759	Complete	FBtr0088016	3785.6	1943
160593at2759	Complete	FBtr0113748	1641.7	1267
166920at2759	Complete	FBtr0085452	593.3	752
176625at2759	Complete	FBtr0083275	259.0	444
179362at2759	Complete	FBtr0301668	625.7	1207
245208at2759	Complete	FBtr0332340	1545.4	870
257318at2759	Complete	FBtr0343280	285.9	327
261328at2759	Complete	FBtr0332422	434.4	436
261419at2759	Complete	FBtr0078512	355.8	415
270107at2759	Complete	FBtr0088431	464.5	613
271586at2759	Complete	FBtr0306810	263.1	449
290630at2759	Complete	FBtr0345930	671.1	920
293315at2759	Complete	FBtr0084115	631.1	594
296129at2759	Complete	FBtr0071280	1001.8	720
299766at2759	Complete	FBtr0072557	464.3	460
306227at2759	Complete	FBtr0082680	503.1	533
320059at2759	Complete	FBtr0077439	899.1	451
324863at2759	Complete	FBtr0070656	615.3	559
325552at2759	Complete	FBtr0075845	486.8	501
330169at2759	Complete	FBtr0082130	357.2	331
331411at2759	Complete	FBtr0306544	438.2	406
341721at2759	Complete	FBtr0081599	290.1	402
345441at2759	Complete	FBtr0075967	469.9	381
355408at2759	Complete	FBtr0070418	803.8	545
369837at2759	Complete	FBtr0070351	279.2	421
375960at2759	Complete	FBtr0077081	300.8	356
383503at2759	Complete	FBtr0078751	359.2	370
388820at2759	Complete	FBtr0082763	597.2	613
390348at2759	Complete	FBtr0082225	1210.7	762
392369at2759	Complete	FBtr0343875	380.2	382
396755at2759	Complete	FBtr0072668	579.9	651
418107at2759	Complete	FBtr0075547	477.8	347
426305at2759	Complete	FBtr0088628	528.9	584
450058at2759	Complete	FBtr0334907	228.2	295
453044at2759	Complete	FBtr0071342	341.8	313
457861at2759	Complete	FBtr0071065	103.8	161
464990at2759	Complete	FBtr0078441	356.4	340
491869at2759	Complete	FBtr0082352	245.9	258
513979at2759	Complete	FBtr0114543	153.7	189
543764at2759	Complete	FBtr0343162	201.3	231
549762at2759	Complete	FBtr0086712	483.1	484
551907at2759	Complete	FBtr0076207	254.7	325
570797at2759	Complete	FBtr0072156	559.1	512
582756at2759	Complete	FBtr0070846	291.6	378
598949at2759	Complete	FBtr0073842	475.3	433
604979at2759	Complete	FBtr0078713	460.4	300
621827at2759	Complete	FBtr0070398	325.9	365
625387at2759	Complete	FBtr0333896	305.6	351
655400at2759	Complete	FBtr0079128	276.3	279
664730at2759	Complete	FBtr0080290	644.3	345
671536at2759	Complete	FBtr0082128	526.3	368
671846at2759	Complete	FBtr0080121	244.7	418
673132at2759	Complete	FBtr0080108	298.8	272
674160at2759	Complete	FBtr0071833	642.5	1182
674169at2759	Complete	FBtr0082974	170.8	251
679187at2759	Complete	FBtr0074775	377.3	420
679771at2759	Complete	FBtr0087579	148.9	184
687505at2759	Complete	FBtr0078060	219.3	223
692986at2759	Complete	FBtr0077573	328.0	444
708105at2759	Complete	FBtr0078670	159.4	215
719531at2759	Complete	FBtr0340278	380.5	292
720340at2759	Complete	FBtr0300415	193.6	257
721605at2759	Complete	FBtr0078201	316.7	245
722805at2759	Complete	FBtr0344082	329.3	403
734341at2759	Complete	FBtr0330677	132.9	171
734666at2759	Complete	FBtr0070425	493.4	371
736068at2759	Complete	FBtr0072775	299.8	315
751335at2759	Complete	FBtr0080941	289.6	268
759498at2759	Complete	FBtr0089550	571.9	419
761109at2759	Complete	FBtr0081362	432.3	396
768809at2759	Complete	FBtr0078554	266.9	236
774318at2759	Complete	FBtr0072095	327.9	280
777920at2759	Complete	FBtr0079848	405.2	346
779909at2759	Complete	FBtr0071368	235.9	234
801857at2759	Complete	FBtr0339437	241.2	220
814241at2759	Complete	FBtr0087701	331.6	320
817008at2759	Complete	FBtr0081981	487.3	296
834694at2759	Complete	FBtr0080213	404.1	334
836599at2759	Complete	FBtr0302289	420.6	314
844748at2759	Complete	FBtr0087424	307.1	388
855834at2759	Complete	FBtr0085955	196.0	291
858842at2759	Complete	FBtr0072409	243.6	345
865202at2759	Complete	FBtr0085508	204.9	203
866359at2759	Complete	FBtr0079053	380.1	262
869548at2759	Complete	FBtr0084135	232.3	193
878143at2759	Complete	FBtr0087059	385.4	312
887370at2759	Complete	FBtr0071175	336.5	356
891751at2759	Complete	FBtr0070586	243.2	193
898782at2759	Complete	FBtr0084584	304.1	266
901894at2759	Complete	FBtr0073149	318.2	326
905026at2759	Complete	FBtr0084377	357.4	384
911863at2759	Complete	FBtr0333907	236.8	207
917326at2759	Complete	FBtr0335169	466.5	439
918816at2759	Complete	FBtr0086232	169.4	226
919955at2759	Complete	FBtr0084469	267.0	260
923657at2759	Complete	FBtr0076897	155.6	173
924753at2759	Complete	FBtr0078925	207.9	218
931188at2759	Complete	FBtr0074643	488.5	340
937275at2759	Complete	FBtr0070897	70.6	86
937686at2759	Complete	FBtr0078629	402.9	340
939345at2759	Complete	FBtr0113830	116.2	118
944899at2759	Complete	FBtr0078030	370.9	240
946128at2759	Complete	FBtr0087550	499.9	467
956854at2759	Duplicated	FBtr0083375	197.4	183
956854at2759	Duplicated	FBtr0337064	195.9	183
973442at2759	Complete	FBtr0079096	147.4	190
974865at2759	Complete	FBtr0083562	229.9	227
975158at2759	Complete	FBtr0071344	239.5	275
975557at2759	Complete	FBtr0072569	587.8	591
976469at2759	Complete	FBtr0079030	203.1	236
981902at2759	Complete	FBtr0075818	194.8	224
996662at2759	Complete	FBtr0344090	190.5	192
1001705at2759	Complete	FBtr0078242	293.7	269
1003258at2759	Complete	FBtr0071681	229.1	290
1010730at2759	Complete	FBtr0084816	414.5	261
1014314at2759	Complete	FBtr0081861	249.0	214
1018517at2759	Complete	FBtr0084280	303.2	209
1019762at2759	Complete	FBtr0076517	341.0	368
1025450at2759	Complete	FBtr0309064	230.8	308
1030907at2759	Complete	FBtr0113192	294.1	281
1032689at2759	Complete	FBtr0084969	187.1	148
1038775at2759	Complete	FBtr0078892	182.3	203
1041560at2759	Complete	FBtr0083749	250.4	376
1049599at2759	Complete	FBtr0086723	389.3	378
1051021at2759	Complete	FBtr0333392	368.9	321
1053181at2759	Complete	FBtr0334904	45.0	149
1057950at2759	Complete	FBtr0082719	306.8	227
1065019at2759	Complete	FBtr0346188	325.4	250
1076134at2759	Complete	FBtr0331630	272.2	185
1079130at2759	Complete	FBtr0080436	354.1	255
1079827at2759	Complete	FBtr0331641	363.6	223
1085752at2759	Complete	FBtr0084590	240.7	271
1087488at2759	Complete	FBtr0084735	253.5	280
1090038at2759	Complete	FBtr0339086	167.4	133
1094121at2759	Complete	FBtr0088694	122.6	130
1096688at2759	Complete	FBtr0070188	321.3	212
1106766at2759	Complete	FBtr0084893	190.4	210
1107630at2759	Complete	FBtr0079614	291.7	209
1108845at2759	Complete	FBtr0339550	508.8	330
1111142at2759	Complete	FBtr0081156	255.8	286
1112002at2759	Complete	FBtr0088373	400.1	571
1115196at2759	Complete	FBtr0087594	390.3	306
1128607at2759	Complete	FBtr0088083	360.3	251
1129824at2759	Complete	FBtr0112440	128.2	136
1138059at2759	Complete	FBtr0310411	314.5	208
1157302at2759	Complete	FBtr0072235	369.1	203
1161199at2759	Complete	FBtr0079261	104.8	132
1173229at2759	Complete	FBtr0082431	134.2	235
1178688at2759	Complete	FBtr0083063	129.1	139
1182451at2759	Complete	FBtr0077330	148.8	168
1193442at2759	Complete	FBtr0071090	336.9	272
1194691at2759	Complete	FBtr0084294	388.3	276
1194797at2759	Complete	FBtr0086942	461.5	423
1197019at2759	Complete	FBtr0077113	158.5	149
1200489at2759	Complete	FBtr0080226	113.1	128
1217666at2759	Complete	FBtr0076943	234.0	177
1220881at2759	Complete	FBtr0077985	137.9	153
1222562at2759	Complete	FBtr0083066	163.9	120
1223488at2759	Complete	FBtr0072823	70.5	80
1228942at2759	Complete	FBtr0078805	188.5	161
1233814at2759	Complete	FBtr0077960	230.0	154
1236198at2759	Complete	FBtr0073460	203.5	125
1247641at2759	Complete	FBtr0340312	147.3	167
1248958at2759	Complete	FBtr0080930	661.5	616
1249159at2759	Complete	FBtr0072731	157.0	154
1251252at2759	Complete	FBtr0082162	92.1	82
1257440at2759	Complete	FBtr0070867	170.7	122
1258856at2759	Complete	FBtr0081979	523.2	588
1259741at2759	Complete	FBtr0070347	393.3	215
1260807at2759	Complete	FBtr0079992	277.8	221
1264469at2759	Complete	FBtr0299819	183.4	152
1266231at2759	Complete	FBtr0070678	284.2	188
1269244at2759	Complete	FBtr0084574	91.9	135
1269649at2759	Complete	FBtr0077298	277.6	166
