# BUSCO version is: 5.4.6 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	FBpp0238793	2126.5	1445
83779at2759	Complete	FBpp0230933	213.4	237
87842at2759	Complete	FBpp0230456	435.4	612
97116at2759	Complete	FBpp0224780	183.8	718
100698at2759	Complete	FBpp0228087	856.8	498
142542at2759	Complete	FBpp0226526	717.0	689
156083at2759	Complete	FBpp0236859	3786.2	1943
160593at2759	Complete	FBpp0395214	1649.9	1271
166920at2759	Complete	FBpp0234970	577.9	716
176625at2759	Complete	FBpp0237923	254.4	441
179362at2759	Complete	FBpp0229404	615.7	1372
245208at2759	Complete	FBpp0232203	1542.8	869
257318at2759	Complete	FBpp0393252	278.8	306
261328at2759	Complete	FBpp0229426	433.9	435
261419at2759	Complete	FBpp0226190	350.4	448
270107at2759	Complete	FBpp0234815	497.5	705
271586at2759	Complete	FBpp0235137	245.8	460
290630at2759	Complete	FBpp0236339	678.9	577
293315at2759	Complete	FBpp0225487	630.0	586
296129at2759	Complete	FBpp0229598	997.3	710
299766at2759	Complete	FBpp0226528	458.4	448
306227at2759	Complete	FBpp0228866	504.6	504
320059at2759	Complete	FBpp0234435	899.4	451
324863at2759	Complete	FBpp0230827	610.4	585
325552at2759	Complete	FBpp0226185	486.9	496
330169at2759	Complete	FBpp0237165	352.0	337
331411at2759	Complete	FBpp0396493	435.7	405
341721at2759	Complete	FBpp0224663	285.6	445
345441at2759	Complete	FBpp0228226	460.3	379
355408at2759	Complete	FBpp0230893	803.0	545
369837at2759	Complete	FBpp0231050	274.3	415
375960at2759	Complete	FBpp0227723	291.6	356
383503at2759	Complete	FBpp0238430	364.9	412
388820at2759	Complete	FBpp0225160	593.6	615
390348at2759	Complete	FBpp0237969	1213.7	762
392369at2759	Complete	FBpp0234018	380.1	381
396755at2759	Complete	FBpp0226564	576.7	651
418107at2759	Complete	FBpp0228275	472.1	347
426305at2759	Complete	FBpp0232004	544.1	484
450058at2759	Complete	FBpp0224560	222.9	284
453044at2759	Complete	FBpp0229737	346.6	314
457861at2759	Complete	FBpp0229155	97.7	151
464990at2759	Complete	FBpp0400673	359.4	429
491869at2759	Complete	FBpp0237675	239.6	255
513979at2759	Complete	FBpp0225085	154.5	195
543764at2759	Complete	FBpp0229055	195.3	226
549762at2759	Complete	FBpp0235569	472.9	437
551907at2759	Complete	FBpp0227813	256.2	367
570797at2759	Complete	FBpp0236307	543.8	481
582756at2759	Complete	FBpp0233443	279.4	346
598949at2759	Complete	FBpp0233195	473.0	441
604979at2759	Missing
621827at2759	Complete	FBpp0231389	306.9	362
625387at2759	Complete	FBpp0226288	302.4	350
655400at2759	Complete	FBpp0232237	274.7	309
664730at2759	Complete	FBpp0231921	643.9	344
671536at2759	Complete	FBpp0237163	525.2	368
671846at2759	Complete	FBpp0232063	228.3	416
673132at2759	Complete	FBpp0238358	294.7	273
674160at2759	Complete	FBpp0236348	625.4	1352
674169at2759	Complete	FBpp0237315	164.7	290
679187at2759	Complete	FBpp0400275	371.2	424
679771at2759	Complete	FBpp0235981	150.3	184
687505at2759	Complete	FBpp0232195	223.3	228
692986at2759	Complete	FBpp0235053	330.7	436
708105at2759	Complete	FBpp0238304	157.4	222
719531at2759	Complete	FBpp0235436	389.5	298
720340at2759	Complete	FBpp0224723	195.7	263
721605at2759	Complete	FBpp0225943	319.4	246
722805at2759	Complete	FBpp0398132	328.5	401
734341at2759	Complete	FBpp0230336	131.1	161
734666at2759	Complete	FBpp0230182	489.0	371
736068at2759	Complete	FBpp0230476	291.8	316
