# BUSCO version is: 4.1.4 
# The lineage dataset is: diptera_odb10 (Creation date: 2020-08-05, number of species: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
20at7147	Complete	Dato14165-RA	11699.6	7347	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Fragmented	Dato05580-RA	1178.3	610	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Fragmented	Dato03507-RA	2232.8	1091	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	Dato01722-RA	3095.0	1977	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Complete	Dato02674-RA	4898.2	3138	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	Dato04531-RA	3934.6	2982	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	Dato15068-RA	6293.3	3164	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	Dato04292-RA	4654.4	2994	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	Dato03665-RA	6210.6	3412	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	Dato14925-RA	5495.8	2807	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Missing
287at7147	Complete	Dato07588-RA	4492.2	2516	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	Dato10539-RA	4256.8	2470	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Complete	Dato00172-RA	5317.0	2808	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	Dato07569-RA	6291.6	3757	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	Dato12151-RA	6755.4	4093	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	Dato05704-RA	4302.3	2691	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	Dato02387-RA	4687.5	2303	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	Dato12152-RA	3199.7	2238	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	Dato14367-RA	5444.2	4358	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Complete	Dato04328-RA	2238.7	1163	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Missing
459at7147	Complete	Dato01114-RA	3549.9	1963	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
466at7147	Complete	Dato15677-RA	3791.2	2032	https://www.orthodb.org/v10?query=466at7147	Serine/threonine-protein kinase TOR
491at7147	Complete	Dato00914-RA	2217.8	1876	https://www.orthodb.org/v10?query=491at7147	Huntingtin protein
508at7147	Complete	Dato05117-RA	3530.3	2562	https://www.orthodb.org/v10?query=508at7147	Vacuolar protein sorting-associated protein 13
509at7147	Complete	Dato14812-RA	4812.2	2090	https://www.orthodb.org/v10?query=509at7147	pre-mRNA-processing-splicing factor 8
516at7147	Complete	Dato02654-RA	4310.3	2347	https://www.orthodb.org/v10?query=516at7147	Ubiquitin carboxyl-terminal hydrolase 34
556at7147	Complete	Dato14785-RA	3305.8	2005	https://www.orthodb.org/v10?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	Dato14448-RA	3101.9	1911	https://www.orthodb.org/v10?query=566at7147	chondroitin sulfate proteoglycan 4
591at7147	Complete	Dato07814-RA	2401.4	1638	https://www.orthodb.org/v10?query=591at7147	protein pecanex
595at7147	Complete	Dato02783-RA	3630.8	2162	https://www.orthodb.org/v10?query=595at7147	HECT domain
597at7147	Missing
608at7147	Complete	Dato03546-RA	4340.7	2158	https://www.orthodb.org/v10?query=608at7147	EF-hand domain
610at7147	Complete	Dato01025-RA	3311.4	1907	https://www.orthodb.org/v10?query=610at7147	Leucine-rich repeat
612at7147	Complete	Dato12844-RA	3097.7	1756	https://www.orthodb.org/v10?query=612at7147	CCR4-NOT transcription complex, subunit
626at7147	Complete	Dato01729-RA	2454.2	2057	https://www.orthodb.org/v10?query=626at7147	Immunoglobulin-like domain
648at7147	Complete	Dato07568-RA	4150.8	2056	https://www.orthodb.org/v10?query=648at7147	Spectrin beta chain
698at7147	Complete	Dato03764-RA	4206.3	2280	https://www.orthodb.org/v10?query=698at7147	FERM domain
729at7147	Complete	Dato04603-RA	3898.8	1889	https://www.orthodb.org/v10?query=729at7147	putative U5 small nuclear ribonucleoprotein 200 kDa helicase
745at7147	Complete	Dato15229-RA	2676.1	1531	https://www.orthodb.org/v10?query=745at7147	EGF-like calcium-binding, conserved site
762at7147	Complete	Dato12741-RA	4026.6	2019	https://www.orthodb.org/v10?query=762at7147	dnaJ homolog subfamily C member 13 isoform X1
765at7147	Complete	Dato06802-RA	2232.0	2002	https://www.orthodb.org/v10?query=765at7147	small subunit processome component 20 homolog
784at7147	Complete	Dato10581-RA	3112.1	1703	https://www.orthodb.org/v10?query=784at7147	Dedicator of cytokinesis
811at7147	Complete	Dato05160-RA	3951.3	1960	https://www.orthodb.org/v10?query=811at7147	Acetyl-CoA carboxylase
814at7147	Complete	Dato15937-RA	1674.9	1567	https://www.orthodb.org/v10?query=814at7147	serine/threonine-protein kinase Smg1
824at7147	Complete	Dato15200-RA	2195.6	1128	https://www.orthodb.org/v10?query=824at7147	Carbamoyl-phosphate synthase small subunit, N-terminal domain
839at7147	Complete	Dato01225-RA	1922.6	1370	https://www.orthodb.org/v10?query=839at7147	cadherin-89D
860at7147	Complete	Dato03278-RA	1336.3	966	https://www.orthodb.org/v10?query=860at7147	Mediator of RNA polymerase II transcription subunit 13
869at7147	Complete	Dato01337-RA	3611.0	2039	https://www.orthodb.org/v10?query=869at7147	protein unc-79 homolog isoform X1
889at7147	Complete	Dato16260-RA	2772.9	1716	https://www.orthodb.org/v10?query=889at7147	tetratricopeptide repeat protein 28
898at7147	Missing
920at7147	Complete	Dato04523-RA	3473.7	1758	https://www.orthodb.org/v10?query=920at7147	Glutamate synthase, alpha subunit, C-terminal
967at7147	Complete	Dato01961-RA	3358.7	1797	https://www.orthodb.org/v10?query=967at7147	HEAT repeat-containing protein 5B isoform X1
969at7147	Complete	Dato15353-RA	1888.3	1848	https://www.orthodb.org/v10?query=969at7147	uncharacterized protein LOC108023667
976at7147	Complete	Dato01171-RA	2711.5	1606	https://www.orthodb.org/v10?query=976at7147	endoribonuclease Dcr-1
977at7147	Missing
981at7147	Complete	Dato02281-RA	2052.8	1411	https://www.orthodb.org/v10?query=981at7147	PDZ domain
1009at7147	Complete	Dato14777-RA	2715.1	2571	https://www.orthodb.org/v10?query=1009at7147	apolipophorins
1015at7147	Complete	Dato02825-RA	1431.4	1460	https://www.orthodb.org/v10?query=1015at7147	Zinc finger, RanBP2-type
1017at7147	Complete	Dato12432-RA	1652.0	2699	https://www.orthodb.org/v10?query=1017at7147	SHARP, RNA recognition motif 2
1064at7147	Complete	Dato13625-RA	2200.6	1177	https://www.orthodb.org/v10?query=1064at7147	WD40 repeat
1082at7147	Fragmented	Dato15137-RA	606.8	717	https://www.orthodb.org/v10?query=1082at7147	GTPase-activating protein CdGAPr
1099at7147	Complete	Dato05528-RA	2342.0	1523	https://www.orthodb.org/v10?query=1099at7147	proteasome-associated protein ECM29 homolog
1122at7147	Complete	Dato05312-RA	1662.0	958	https://www.orthodb.org/v10?query=1122at7147	SNF2-related, N-terminal domain
1142at7147	Complete	Dato14854-RA	1906.6	1484	https://www.orthodb.org/v10?query=1142at7147	Nuclear pore complex protein Nup205
1152at7147	Complete	Dato03676-RA	1051.2	997	https://www.orthodb.org/v10?query=1152at7147	BTB/POZ domain
1190at7147	Complete	Dato01180-RA	3252.3	1727	https://www.orthodb.org/v10?query=1190at7147	activating signal cointegrator 1 complex subunit 3
1204at7147	Complete	Dato02305-RA	2400.8	1531	https://www.orthodb.org/v10?query=1204at7147	SNF2-related, N-terminal domain
1216at7147	Complete	Dato02203-RA	2792.9	1392	https://www.orthodb.org/v10?query=1216at7147	WD40-repeat-containing domain
1224at7147	Complete	Dato01203-RA	3427.5	1793	https://www.orthodb.org/v10?query=1224at7147	DNA polymerase epsilon catalytic subunit
1246at7147	Complete	Dato14267-RA	2901.9	1435	https://www.orthodb.org/v10?query=1246at7147	Sec7, C-terminal
1270at7147	Complete	Dato00106-RA	2841.0	1363	https://www.orthodb.org/v10?query=1270at7147	neurexin-1 isoform X1
1273at7147	Complete	Dato00376-RA	2419.1	1398	https://www.orthodb.org/v10?query=1273at7147	probable Rho GTPase-activating protein CG5521 isoform X1
1288at7147	Complete	Dato04907-RA	2732.2	1478	https://www.orthodb.org/v10?query=1288at7147	L(2) long form, putative
1297at7147	Complete	Dato05280-RA	1581.5	1634	https://www.orthodb.org/v10?query=1297at7147	nucleoprotein TPR
1314at7147	Complete	Dato00221-RA	1665.7	1272	https://www.orthodb.org/v10?query=1314at7147	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
1378at7147	Missing
1388at7147	Complete	Dato15764-RA	486.0	325	https://www.orthodb.org/v10?query=1388at7147	Nipped-B protein
1424at7147	Complete	Dato02272-RA	1471.2	1516	https://www.orthodb.org/v10?query=1424at7147	FYVE zinc finger
1448at7147	Complete	Dato12024-RA	1631.3	1062	https://www.orthodb.org/v10?query=1448at7147	Sushi/SCR/CCP domain
1460at7147	Complete	Dato06382-RA	2061.7	1230	https://www.orthodb.org/v10?query=1460at7147	Neuralized
1492at7147	Complete	Dato12629-RA	760.1	590	https://www.orthodb.org/v10?query=1492at7147	Armadillo-type fold
1519at7147	Complete	Dato01435-RA	1294.6	1383	https://www.orthodb.org/v10?query=1519at7147	ectopic P granules protein 5 homolog
1524at7147	Complete	Dato02261-RA	2611.7	1706	https://www.orthodb.org/v10?query=1524at7147	EGF-like calcium-binding, conserved site
1539at7147	Complete	Dato16836-RA	2044.0	1097	https://www.orthodb.org/v10?query=1539at7147	WD40-repeat-containing domain
1545at7147	Complete	Dato04492-RA	3293.7	1826	https://www.orthodb.org/v10?query=1545at7147	protein KIAA0100
1553at7147	Fragmented	Dato14100-RA	133.2	358	https://www.orthodb.org/v10?query=1553at7147	Autophagy-related, C-terminal
1616at7147	Complete	Dato15264-RA	1834.4	1327	https://www.orthodb.org/v10?query=1616at7147	protein dopey-1 homolog
1629at7147	Complete	Dato13826-RA	2282.7	1625	https://www.orthodb.org/v10?query=1629at7147	WD40-repeat-containing domain
1636at7147	Complete	Dato12644-RA	2758.1	1568	https://www.orthodb.org/v10?query=1636at7147	Dedicator of cytokinesis
1674at7147	Complete	Dato03574-RA	2602.8	2136	https://www.orthodb.org/v10?query=1674at7147	Nucleosome-remodeling factor subunit NURF301
1712at7147	Complete	Dato15627-RA	2856.6	1470	https://www.orthodb.org/v10?query=1712at7147	Immunoglobulin-like domain
1727at7147	Complete	Dato12149-RA	2768.3	1417	https://www.orthodb.org/v10?query=1727at7147	Alpha-2-macroglobulin, N-terminal
1738at7147	Complete	Dato00162-RA	1802.9	1155	https://www.orthodb.org/v10?query=1738at7147	Thyroglobulin type-1
1739at7147	Complete	Dato12147-RA	2387.8	1288	https://www.orthodb.org/v10?query=1739at7147	Protein MON2
1759at7147	Complete	Dato03090-RA	1802.7	1075	https://www.orthodb.org/v10?query=1759at7147	DEP domain-containing protein 5 isoform X1
1786at7147	Complete	Dato17033-RA	2069.6	1386	https://www.orthodb.org/v10?query=1786at7147	ABC transporter A
1789at7147	Complete	Dato02027-RA	813.4	430	https://www.orthodb.org/v10?query=1789at7147	afadin isoform X1
1846at7147	Complete	Dato03443-RA	2260.1	1178	https://www.orthodb.org/v10?query=1846at7147	Dbl homology (DH) domain
1858at7147	Fragmented	Dato12117-RA	1265.6	795	https://www.orthodb.org/v10?query=1858at7147	disks large homolog 5
1898at7147	Complete	Dato15488-RA	1991.8	1331	https://www.orthodb.org/v10?query=1898at7147	E3 ubiquitin-protein ligase UBR1
1926at7147	Complete	Dato06015-RA	2050.6	1311	https://www.orthodb.org/v10?query=1926at7147	DNA-directed RNA polymerase subunit
1957at7147	Complete	Dato14899-RA	2031.4	1198	https://www.orthodb.org/v10?query=1957at7147	Rho GTPase-activating protein domain
1962at7147	Complete	Dato14266-RA	1215.0	1057	https://www.orthodb.org/v10?query=1962at7147	ABC transporter A
1967at7147	Complete	Dato15180-RA	1836.1	1283	https://www.orthodb.org/v10?query=1967at7147	anaphase-promoting complex subunit 1
1975at7147	Complete	Dato14146-RA	3101.3	1469	https://www.orthodb.org/v10?query=1975at7147	Voltage-gated ion channel
