#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
YOtrMO030161         -           1228 97116at2759          -            956         0 1273.2   0.0   1   3  7.1e-241  3.1e-237  789.1   0.0     1   546     1   647     1   654 0.91 -
YOtrMO030161         -           1228 97116at2759          -            956         0 1273.2   0.0   2   3   3.2e-48   1.4e-44  151.5   0.0   544   676   671   824   669   841 0.88 -
YOtrMO030161         -           1228 97116at2759          -            956         0 1273.2   0.0   3   3    1e-101   4.6e-98  328.5   0.0   671   956   862  1226   841  1226 0.81 -
YOtrMO022555         -           1141 97116at2759          -            956   2.4e-53  180.5   0.5   1   2   9.7e-37   4.3e-33  113.5   0.0   187   659   208   727   116   739 0.73 -
YOtrMO022555         -           1141 97116at2759          -            956   2.4e-53  180.5   0.5   2   2   3.9e-22   1.7e-18   65.2   0.2   720   931   857  1100   847  1116 0.75 -
YOtrMO009195         -           1467 97116at2759          -            956   3.9e-14   50.7   3.4   1   5      0.29   1.3e+03   -3.9   0.0    24    73    61   109    43   161 0.74 -
YOtrMO009195         -           1467 97116at2759          -            956   3.9e-14   50.7   3.4   2   5   0.00083       3.6    4.5   0.0   253   305   352   410   345   427 0.77 -
YOtrMO009195         -           1467 97116at2759          -            956   3.9e-14   50.7   3.4   3   5   1.3e-10   5.7e-07   27.0   0.2   348   446   540   651   521   705 0.80 -
YOtrMO009195         -           1467 97116at2759          -            956   3.9e-14   50.7   3.4   4   5     0.013        55    0.6   0.0   719   786  1181  1255  1172  1266 0.73 -
YOtrMO009195         -           1467 97116at2759          -            956   3.9e-14   50.7   3.4   5   5   4.6e-07     0.002   15.3   0.0   860   948  1354  1445  1299  1453 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/busco_downloads/lineages/eukaryota_odb10/hmms/97116at2759.hmm
# Target file:     /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/00_proteins/Dmoj.fasta
# Option settings: hmmsearch --domtblout /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/Results/00_proteins/Dmoj/run_eukaryota_odb10/hmmer_output/initial_run_results/97116at2759.out --cpu 1 /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/busco_downloads/lineages/eukaryota_odb10/hmms/97116at2759.hmm /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023/00_proteins/Dmoj.fasta 
# Current dir:     /home/nmoreyra/Documents/Academico/Repositorios/BUSCO2Tree/test_marzo2023
# Date:            Thu Mar 23 14:23:28 2023
# [ok]
