#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
YOtrMO008236         -           1313 179362at2759         -            938  7.8e-186  619.5 139.0   1   3   2.5e-87   3.9e-85  286.2  67.6     1   620     7   640     7   646 0.76 -
YOtrMO008236         -           1313 179362at2759         -            938  7.8e-186  619.5 139.0   2   3   5.6e-09   8.8e-07   26.9  32.0   456   743   666   971   654   974 0.69 -
YOtrMO008236         -           1313 179362at2759         -            938  7.8e-186  619.5 139.0   3   3   1.2e-95   1.8e-93  313.8  35.3   570   938   891  1296   888  1296 0.85 -
YOtrMO025975         -           1108 179362at2759         -            938   2.2e-08   32.3  85.5   1   3   3.1e-06   0.00048   17.9   0.0    15    80    99   162    86   229 0.75 -
YOtrMO025975         -           1108 179362at2759         -            938   2.2e-08   32.3  85.5   2   3    0.0012      0.19    9.3  38.0   507   755   261   507   239   522 0.58 -
YOtrMO025975         -           1108 179362at2759         -            938   2.2e-08   32.3  85.5   3   3   0.00082      0.13    9.9  38.8   501   740   712   950   699   986 0.78 -
YOtrMO003385         -            929 179362at2759         -            938   5.6e-07   27.6   0.1   1   4      0.21        33    1.9   0.3    25    38   409   422   409   497 0.72 -
YOtrMO003385         -            929 179362at2759         -            938   5.6e-07   27.6   0.1   2   4      0.03       4.7    4.7   0.0   864   925   534   588   533   597 0.82 -
YOtrMO003385         -            929 179362at2759         -            938   5.6e-07   27.6   0.1   3   4      0.56        88    0.5   0.0    25    52   732   755   729   758 0.72 -
YOtrMO003385         -            929 179362at2759         -            938   5.6e-07   27.6   0.1   4   4   3.6e-09   5.6e-07   27.6   0.1   864   929   826   884   820   890 0.88 -
YOtrMO031358         -           2943 179362at2759         -            938   2.7e-06   25.3  62.0   1   5        10   1.6e+03   -3.7   0.9   495   555   185   245   156   272 0.61 -
YOtrMO031358         -           2943 179362at2759         -            938   2.7e-06   25.3  62.0   2   5       9.1   1.4e+03   -3.5  15.2   486   624   609   746   351   753 0.80 -
YOtrMO031358         -           2943 179362at2759         -            938   2.7e-06   25.3  62.0   3   5         4   6.2e+02   -2.3   6.4   248   338   846   934   824   967 0.54 -
YOtrMO031358         -           2943 179362at2759         -            938   2.7e-06   25.3  62.0   4   5   1.7e-08   2.7e-06   25.3  62.0   181   640  1530  1997  1512  2034 0.80 -
YOtrMO031358         -           2943 179362at2759         -            938   2.7e-06   25.3  62.0   5   5      0.53        82    0.6  45.2   514   721  2146  2351  2120  2366 0.87 -
YOtrMO005440         -           1168 179362at2759         -            938   1.2e-05   23.2   1.0   1   1   1.2e-07   1.8e-05   22.6   1.0    22    66   560   600   555   604 0.88 -
YOtrMO000824         -           1201 179362at2759         -            938   2.1e-05   22.4  56.2   1   5    0.0027      0.42    8.2   0.0     2    59     7    67     6    90 0.78 -
YOtrMO000824         -           1201 179362at2759         -            938   2.1e-05   22.4  56.2   2   5       4.3   6.8e+02   -2.5  45.3   493   706   169   398   159   404 0.54 -
YOtrMO000824         -           1201 179362at2759         -            938   2.1e-05   22.4  56.2   3   5     0.038       5.9    4.4  18.4   200   300   398   500   383   511 0.49 -
YOtrMO000824         -           1201 179362at2759         -            938   2.1e-05   22.4  56.2   4   5   1.4e-07   2.1e-05   22.4  56.2   487   792   674   989   671   996 0.85 -
