# BUSCO version is: 4.1.4 
# The lineage dataset is: diptera_odb10 (Creation date: 2020-08-05, number of species: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
20at7147	Complete	DkoeB00012672-RA	11575.1	7415	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	DkoeB00006340-RA	9130.5	4287	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Fragmented	DkoeB00001711-RA	2410.0	1177	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	DkoeB00008243-RA	4267.9	2175	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Fragmented	DkoeB00005522-RA	3044.1	1875	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	DkoeB00002703-RA	3927.5	2960	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	DkoeB00004334-RA	6223.9	3153	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	DkoeB00002471-RA	4640.8	3001	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	DkoeB00001865-RA	6202.5	3417	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	DkoeB00007484-RA	5503.1	2810	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Missing
287at7147	Complete	DkoeB00011284-RA	4610.0	2523	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	DkoeB00003717-RA	4256.6	2472	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Complete	DkoeB00010803-RA	5299.0	2805	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	DkoeB00011302-RA	6292.1	3755	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	DkoeB00009877-RA	6757.2	4089	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	DkoeB00006459-RA	4290.2	2670	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	DkoeB00005733-RA	4687.9	2301	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	DkoeB00009878-RA	3214.6	2177	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	DkoeB00012330-RA	5435.5	4314	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Complete	DkoeB00002509-RA	2234.5	1164	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Complete	DkoeB00012771-RA	3569.4	3408	https://www.orthodb.org/v10?query=432at7147	Immunoglobulin-like domain
459at7147	Complete	DkoeB00004849-RA	3554.3	1963	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
466at7147	Complete	DkoeB00003320-RA	3790.8	2032	https://www.orthodb.org/v10?query=466at7147	Serine/threonine-protein kinase TOR
491at7147	Complete	DkoeB00004638-RA	2209.5	1887	https://www.orthodb.org/v10?query=491at7147	Huntingtin protein
508at7147	Complete	DkoeB00007215-RA	3527.1	2552	https://www.orthodb.org/v10?query=508at7147	Vacuolar protein sorting-associated protein 13
509at7147	Complete	DkoeB00007549-RA	4812.2	2090	https://www.orthodb.org/v10?query=509at7147	pre-mRNA-processing-splicing factor 8
516at7147	Complete	DkoeB00005546-RA	4314.3	2359	https://www.orthodb.org/v10?query=516at7147	Ubiquitin carboxyl-terminal hydrolase 34
556at7147	Complete	DkoeB00009125-RA	3310.0	2000	https://www.orthodb.org/v10?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	DkoeB00003394-RA	3100.5	1911	https://www.orthodb.org/v10?query=566at7147	chondroitin sulfate proteoglycan 4
591at7147	Complete	DkoeB00011063-RA	2399.0	1448	https://www.orthodb.org/v10?query=591at7147	protein pecanex
595at7147	Complete	DkoeB00008312-RA	3636.2	2167	https://www.orthodb.org/v10?query=595at7147	HECT domain
597at7147	Complete	DkoeB00013087-RA	3057.1	1785	https://www.orthodb.org/v10?query=597at7147	Translational activator gcn1
608at7147	Missing
