#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Dbrb05905-RA         -           1965 3096at7147           -           1541         0 2515.4  45.5   1   4  6.6e-281  5.9e-278  925.1  12.4     1   556    45   665    45   675 0.93 -
Dbrb05905-RA         -           1965 3096at7147           -           1541         0 2515.4  45.5   2   4         0         0 1103.3   9.7   548  1231   696  1494   687  1518 0.91 -
Dbrb05905-RA         -           1965 3096at7147           -           1541         0 2515.4  45.5   3   4  6.7e-152  5.9e-149  497.5   3.2  1220  1519  1551  1888  1532  1902 0.92 -
Dbrb05905-RA         -           1965 3096at7147           -           1541         0 2515.4  45.5   4   4    0.0066       5.9    3.7   0.1  1523  1541  1947  1965  1920  1965 0.79 -
Dbrb13209-RA         -           5162 3096at7147           -           1541         0 1169.1  84.9   1  23   3.5e-06    0.0031   14.5   0.0  1197  1284    86   176    77   191 0.77 -
Dbrb13209-RA         -           5162 3096at7147           -           1541         0 1169.1  84.9   2  23   3.2e-16   2.8e-13   47.8   0.0   842   937   222   318   203   327 0.84 -
Dbrb13209-RA         -           5162 3096at7147           -           1541         0 1169.1  84.9   3  23   1.6e-08   1.4e-05   22.3   0.2   843   947   341   455   334   456 0.82 -
Dbrb13209-RA         -           5162 3096at7147           -           1541         0 1169.1  84.9   4  23   3.4e-16     3e-13   47.7   0.2   841   951   451   564   447   564 0.92 -
Dbrb13209-RA         -           5162 3096at7147           -           1541         0 1169.1  84.9   5  23   8.7e-20   7.8e-17   59.6   0.0   842   999   557   715   555   722 0.87 -
Dbrb13209-RA         -           5162 3096at7147           -           1541         0 1169.1  84.9   6  23     2e-14   1.8e-11   41.9   1.7   767   948   686   887   679   892 0.78 -
