# BUSCO version is: 5.4.6 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	DALD001966-1.p1	2124.3	1457
83779at2759	Complete	DALD003594-1.p1	219.5	246
87842at2759	Complete	DALD001617-1.p1	437.3	584
97116at2759	Complete	DALD015035-1.p1	1272.0	961
100698at2759	Complete	DALD005129-2.p1	857.4	498
142542at2759	Complete	DALD015033-1.p1	719.9	650
156083at2759	Complete	DALD014545-1.p1	3786.4	1943
160593at2759	Complete	DALD007480-1.p1	1649.1	1290
166920at2759	Missing
176625at2759	Complete	DALD007116-1.p1	253.0	426
179362at2759	Complete	DALD010760-1.p1	619.5	1395
245208at2759	Complete	DALD003351-1.p1	1542.7	878
257318at2759	Complete	DALD015500-1.p1	285.9	308
261328at2759	Complete	DALD010686-1.p1	434.1	435
261419at2759	Complete	DALD015129-1.p1	350.0	424
270107at2759	Complete	DALD006556-1.p1	482.3	666
271586at2759	Complete	DALD015299-1.p1	242.3	454
290630at2759	Missing
293315at2759	Complete	DALD014404-1.p1	633.0	590
296129at2759	Complete	DALD013539-1.p1	999.3	715
299766at2759	Complete	DALD015009-1.p1	461.4	456
306227at2759	Complete	DALD003012-2.p1	497.9	503
320059at2759	Complete	DALD005342-1.p1	890.5	451
324863at2759	Complete	DALD012662-1.p1	612.6	563
325552at2759	Complete	DALD015123-1.p1	487.2	528
330169at2759	Complete	DALD007953-2.p1	344.2	344
331411at2759	Complete	DALD015791-1.p1	435.9	402
341721at2759	Complete	DALD004748-1.p1	287.5	448
345441at2759	Complete	DALD008554-1.p1	457.8	379
355408at2759	Complete	DALD002163-1.p1	800.9	547
369837at2759	Complete	DALD000723-1.p1	272.4	418
375960at2759	Complete	DALD011211-1.p1	292.0	345
383503at2759	Complete	DALD001589-1.p1	363.0	422
388820at2759	Complete	DALD004387-1.p1	577.1	618
390348at2759	Complete	DALD011673-1.p1	1209.9	763
392369at2759	Complete	DALD015844-1.p1	380.0	380
396755at2759	Duplicated	DALD015078-1.p1	579.7	651
396755at2759	Duplicated	DALD008591-1.p1	579.2	651
418107at2759	Complete	DALD008631-1.p1	472.8	354
426305at2759	Complete	DALD014247-1.p1	542.3	482
450058at2759	Complete	DALD010491-1.p1	227.6	285
453044at2759	Complete	DALD007180-1.p1	345.7	314
457861at2759	Complete	DALD007613-1.p1	99.7	161
464990at2759	Complete	DALD006794-2.p1	342.7	391
491869at2759	Complete	DALD007949-1.p1	251.7	258
513979at2759	Complete	DALD010542-1.p1	148.2	194
543764at2759	Complete	DALD002908-1.p1	203.2	226
549762at2759	Complete	DALD014849-1.p1	478.0	461
551907at2759	Complete	DALD002287-1.p1	249.9	362
570797at2759	Complete	DALD015418-1.p1	548.3	494
582756at2759	Complete	DALD000741-1.p1	281.8	366
598949at2759	Fragmented	DALD003852-1.p1	228.6	272
604979at2759	Complete	DALD007339-1.p1	459.4	283
621827at2759	Complete	DALD002215-1.p1	319.5	358
625387at2759	Complete	DALD012405-1.p1	255.7	330
655400at2759	Duplicated	DALD015821-1.p1	269.7	303
655400at2759	Duplicated	DALD015859-1.p1	269.7	303
664730at2759	Fragmented	DALD012100-1.p1	206.8	123
671536at2759	Complete	DALD007954-1.p1	528.5	369
671846at2759	Complete	DALD007285-1.p1	223.9	433
673132at2759	Complete	DALD007450-1.p1	301.0	273
674160at2759	Complete	DALD006641-1.p1	621.7	1155
674169at2759	Complete	DALD006374-1.p1	171.0	286
679187at2759	Complete	DALD001638-2.p1	362.5	421
679771at2759	Complete	DALD015610-1.p1	150.0	184
687505at2759	Complete	DALD005464-1.p1	221.1	217
692986at2759	Complete	DALD012135-1.p1	331.3	430
708105at2759	Complete	DALD008766-1.p1	159.6	210
719531at2759	Complete	DALD000115-1.p1	386.9	294
720340at2759	Complete	DALD006780-1.p1	193.9	261
721605at2759	Complete	DALD004697-1.p1	321.2	245
722805at2759	Complete	DALD000880-1.p1	333.9	403
734341at2759	Complete	DALD002381-1.p1	133.5	172
734666at2759	Complete	DALD003591-1.p1	491.4	371
736068at2759	Complete	DALD000977-1.p1	289.3	316
751335at2759	Complete	DALD013452-1.p1	288.7	268
759498at2759	Complete	DALD009816-1.p1	569.6	419
761109at2759	Complete	DALD005377-1.p1	430.7	394
768809at2759	Complete	DALD010001-1.p1	270.6	232
774318at2759	Complete	DALD014429-1.p1	316.2	280
777920at2759	Complete	DALD011032-1.p1	407.1	368
779909at2759	Complete	DALD005498-1.p1	233.0	227
801857at2759	Complete	DALD015688-1.p1	247.2	221
814241at2759	Complete	DALD013154-1.p1	329.2	319
817008at2759	Complete	DALD003755-1.p1	488.0	296
834694at2759	Duplicated	DALD002900-1.p1	414.0	371
834694at2759	Duplicated	DALD002899-1.p1	380.5	311
836599at2759	Complete	DALD003239-1.p1	422.9	315
844748at2759	Complete	DALD011365-1.p1	301.0	389
