# BUSCO version is: 5.4.6 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	YOtrMO020107	2128.1	1455
83779at2759	Complete	YOtrMO001089	213.3	233
87842at2759	Complete	YOtrMO001355	441.4	610
97116at2759	Complete	YOtrMO030161	1273.2	962
100698at2759	Complete	YOtrMO031207	632.8	335
142542at2759	Complete	YOtrMO028353	731.0	659
156083at2759	Complete	YOtrMO008541	3786.4	1943
160593at2759	Complete	YOtrMO021966	1651.6	1327
166920at2759	Complete	YOtrMO007253	583.1	807
176625at2759	Complete	YOtrMO020478	252.3	426
179362at2759	Complete	YOtrMO008236	619.5	1274
245208at2759	Complete	YOtrMO016784	1542.7	878
257318at2759	Complete	YOtrMO009406	288.3	307
261328at2759	Complete	YOtrMO008207	434.4	435
261419at2759	Complete	YOtrMO031147	350.4	425
270107at2759	Complete	YOtrMO009764	482.6	612
271586at2759	Complete	YOtrMO009344	251.0	451
290630at2759	Complete	YOtrMO009354	678.3	558
293315at2759	Complete	YOtrMO021073	630.9	584
296129at2759	Complete	YOtrMO003143	999.7	716
299766at2759	Complete	YOtrMO028355	456.3	459
306227at2759	Complete	YOtrMO021910	495.3	500
320059at2759	Complete	YOtrMO016702	894.7	451
324863at2759	Complete	YOtrMO001539	613.5	564
325552at2759	Complete	YOtrMO031156	487.0	526
330169at2759	Complete	YOtrMO023413	353.3	347
331411at2759	Complete	YOtrMO002256	434.7	400
341721at2759	Complete	YOtrMO022404	281.5	463
345441at2759	Complete	YOtrMO028414	458.9	381
355408at2759	Complete	YOtrMO002444	801.5	547
369837at2759	Complete	YOtrMO003485	273.9	417
375960at2759	Complete	YOtrMO030503	292.3	345
383503at2759	Complete	YOtrMO019444	362.9	434
388820at2759	Complete	YOtrMO022710	579.6	608
390348at2759	Complete	YOtrMO022310	1207.8	738
392369at2759	Complete	YOtrMO014859	379.8	380
396755at2759	Complete	YOtrMO031875	577.9	651
418107at2759	Complete	YOtrMO031923	473.0	346
426305at2759	Complete	YOtrMO008109	541.9	479
450058at2759	Complete	YOtrMO023666	227.3	279
453044at2759	Complete	YOtrMO004092	344.9	314
457861at2759	Complete	YOtrMO004334	98.3	150
464990at2759	Complete	YOtrMO032159	340.6	443
491869at2759	Complete	YOtrMO022091	251.2	259
513979at2759	Complete	YOtrMO021338	149.1	195
543764at2759	Complete	YOtrMO015105	204.3	227
549762at2759	Complete	YOtrMO008302	475.0	457
551907at2759	Complete	YOtrMO030402	249.1	365
570797at2759	Complete	YOtrMO007077	548.8	513
582756at2759	Complete	YOtrMO003469	279.7	361
598949at2759	Complete	YOtrMO005431	461.2	412
604979at2759	Complete	YOtrMO025724	458.7	283
621827at2759	Complete	YOtrMO002157	322.9	350
625387at2759	Complete	YOtrMO029042	303.3	376
655400at2759	Complete	YOtrMO016739	269.5	300
664730at2759	Complete	YOtrMO015688	644.4	343
671536at2759	Complete	YOtrMO023415	528.7	369
671846at2759	Complete	YOtrMO014583	228.6	418
673132at2759	Complete	YOtrMO016549	294.1	273
674160at2759	Complete	YOtrMO007467	619.7	1182
674169at2759	Complete	YOtrMO024304	171.2	284
679187at2759	Complete	YOtrMO001289	362.2	422
679771at2759	Complete	YOtrMO009197	150.0	184
687505at2759	Missing
692986at2759	Complete	YOtrMO015631	324.5	426
708105at2759	Complete	YOtrMO023547	159.4	212
719531at2759	Complete	YOtrMO007739	388.9	296
720340at2759	Complete	YOtrMO023609	194.7	261
721605at2759	Complete	YOtrMO028902	320.8	245
722805at2759	Complete	YOtrMO016083	333.7	404
734341at2759	Complete	YOtrMO013855	133.2	172
734666at2759	Complete	YOtrMO000922	490.7	371
736068at2759	Complete	YOtrMO029781	290.3	316
751335at2759	Complete	YOtrMO016858	290.2	268
759498at2759	Complete	YOtrMO008954	571.5	419
761109at2759	Complete	YOtrMO016688	430.6	390
768809at2759	Complete	YOtrMO028951	270.9	233
774318at2759	Complete	YOtrMO005795	316.9	280
777920at2759	Complete	YOtrMO015157	406.3	368
779909at2759	Complete	YOtrMO003419	233.0	225
801857at2759	Complete	YOtrMO004368	243.5	221
814241at2759	Complete	YOtrMO008023	327.5	319
817008at2759	Complete	YOtrMO023991	487.4	296
834694at2759	Complete	YOtrMO016966	414.6	370
836599at2759	Complete	YOtrMO015894	422.6	314
844748at2759	Complete	YOtrMO007327	299.5	389
855834at2759	Complete	YOtrMO016081	194.7	335
858842at2759	Complete	YOtrMO008918	239.8	305
865202at2759	Complete	YOtrMO026968	200.4	203
866359at2759	Complete	YOtrMO018346	382.1	257
869548at2759	Complete	YOtrMO024188	229.0	193
878143at2759	Complete	YOtrMO011277	203.5	300
887370at2759	Complete	YOtrMO005433	334.9	350
891751at2759	Complete	YOtrMO004078	235.9	184
898782at2759	Complete	YOtrMO022478	304.6	256
901894at2759	Complete	YOtrMO029836	314.0	334
905026at2759	Complete	YOtrMO020102	353.2	384
911863at2759	Complete	YOtrMO029442	236.9	208
917326at2759	Complete	YOtrMO013334	469.7	440
918816at2759	Complete	YOtrMO008144	170.5	225
919955at2759	Complete	YOtrMO023883	266.2	260
923657at2759	Complete	YOtrMO028293	162.2	172
924753at2759	Complete	YOtrMO021673	203.2	214
931188at2759	Complete	YOtrMO002080	492.4	342
937275at2759	Complete	YOtrMO001562	70.2	87
937686at2759	Complete	YOtrMO020844	402.9	339
939345at2759	Complete	YOtrMO017145	118.3	120
944899at2759	Complete	YOtrMO014871	373.3	240
946128at2759	Complete	YOtrMO006506	500.5	467
956854at2759	Complete	YOtrMO022036	189.7	178
973442at2759	Complete	YOtrMO007754	147.6	191
974865at2759	Complete	YOtrMO020605	227.4	227
975158at2759	Complete	YOtrMO002421	241.6	274
975557at2759	Complete	YOtrMO027484	583.0	575
976469at2759	Complete	YOtrMO015391	203.2	236
981902at2759	Complete	YOtrMO031342	196.4	225
996662at2759	Complete	YOtrMO031019	192.4	192
1001705at2759	Complete	YOtrMO030660	293.5	269
1003258at2759	Complete	YOtrMO008026	222.1	302
1010730at2759	Complete	YOtrMO019419	413.4	261
1014314at2759	Complete	YOtrMO021810	244.0	214
1018517at2759	Complete	YOtrMO021436	303.9	210
1019762at2759	Complete	YOtrMO029440	343.1	368
1025450at2759	Complete	YOtrMO031372	246.0	303
1030907at2759	Complete	YOtrMO024243	299.5	280
1032689at2759	Complete	YOtrMO020532	183.4	148
1038775at2759	Complete	YOtrMO019285	186.2	202
1041560at2759	Complete	YOtrMO019652	255.0	324
1049599at2759	Complete	YOtrMO008533	387.8	356
1051021at2759	Complete	YOtrMO029610	347.4	321
1053181at2759	Missing
1057950at2759	Complete	YOtrMO019907	304.1	227
1065019at2759	Complete	YOtrMO012040	315.0	250
1076134at2759	Complete	YOtrMO018388	271.0	185
1079130at2759	Complete	YOtrMO014988	347.4	255
1079827at2759	Complete	YOtrMO016284	364.8	223
1085752at2759	Complete	YOtrMO023115	234.1	275
1087488at2759	Complete	YOtrMO021708	247.6	285
1090038at2759	Complete	YOtrMO010834	170.4	134
1094121at2759	Complete	YOtrMO009475	120.4	130
1096688at2759	Complete	YOtrMO003980	323.9	213
1106766at2759	Complete	YOtrMO021215	190.9	202
1107630at2759	Complete	YOtrMO015653	292.5	209
1108845at2759	Complete	YOtrMO016056	506.4	330
1111142at2759	Complete	YOtrMO015766	261.1	259
1112002at2759	Complete	YOtrMO009429	379.1	520
1115196at2759	Complete	YOtrMO007796	384.9	306
1128607at2759	Complete	YOtrMO010142	365.1	251
1129824at2759	Missing
1138059at2759	Complete	YOtrMO025262	316.6	208
1157302at2759	Complete	YOtrMO010117	371.1	203
1161199at2759	Complete	YOtrMO015821	111.7	135
1173229at2759	Complete	YOtrMO025294	135.4	235
1178688at2759	Complete	YOtrMO023189	127.6	138
1182451at2759	Complete	YOtrMO000575	147.1	169
1193442at2759	Complete	YOtrMO000806	337.9	242
1194691at2759	Complete	YOtrMO021826	387.3	275
1194797at2759	Missing
1197019at2759	Complete	YOtrMO030501	158.6	157
1200489at2759	Complete	YOtrMO015067	105.5	133
1217666at2759	Complete	YOtrMO030026	232.1	177
1220881at2759	Complete	YOtrMO016727	135.6	148
1222562at2759	Complete	YOtrMO023187	165.2	115
1223488at2759	Complete	YOtrMO028120	79.8	113
1228942at2759	Complete	YOtrMO020981	188.4	162
1233814at2759	Complete	YOtrMO014830	229.9	154
1236198at2759	Duplicated	YOtrMO010136	205.9	125
1236198at2759	Duplicated	YOtrMO003327	203.5	125
1247641at2759	Complete	YOtrMO005648	149.3	179
1248958at2759	Complete	YOtrMO013590	655.5	625
1249159at2759	Complete	YOtrMO028050	156.1	156
1251252at2759	Complete	YOtrMO020744	94.9	82
1257440at2759	Complete	YOtrMO002817	171.9	127
1258856at2759	Complete	YOtrMO021314	529.6	589
1259741at2759	Complete	YOtrMO003003	394.5	215
1260807at2759	Complete	YOtrMO017194	276.6	221
1264469at2759	Missing
1266231at2759	Complete	YOtrMO002959	277.5	188
1269244at2759	Complete	YOtrMO022486	87.9	140
1269649at2759	Complete	YOtrMO000770	279.1	166
1275837at2759	Complete	YOtrMO007997	406.2	243
1284731at2759	Complete	YOtrMO013752	104.2	115
1287094at2759	Complete	YOtrMO008366	159.3	145
1287401at2759	Complete	YOtrMO014848	258.2	162
1291729at2759	Complete	YOtrMO002947	64.9	106
1304061at2759	Complete	YOtrMO000611	178.4	135
1309031at2759	Complete	YOtrMO003991	308.6	347
1312453at2759	Complete	YOtrMO024179	649.6	658
1314980at2759	Complete	YOtrMO023005	546.0	507
1322299at2759	Complete	YOtrMO030988	389.8	377
1322642at2759	Complete	YOtrMO017552	178.9	156
1323575at2759	Duplicated	YOtrMO005146	170.0	113
1323575at2759	Duplicated	YOtrMO027190	158.5	112
1324510at2759	Complete	YOtrMO008211	294.9	287
1338131at2759	Complete	YOtrMO014424	254.8	139
1339553at2759	Complete	YOtrMO016305	231.2	261
1342242at2759	Complete	YOtrMO021421	180.7	183
1346165at2759	Complete	YOtrMO028081	328.4	299
1346432at2759	Complete	YOtrMO003949	109.6	193
1348942at2759	Complete	YOtrMO013655	125.1	165
1355894at2759	Duplicated	YOtrMO016960	102.0	138
1355894at2759	Duplicated	YOtrMO030115	97.7	130
1358374at2759	Complete	YOtrMO007196	271.0	204
1364586at2759	Fragmented	YOtrMO027129	79.7	90
1370285at2759	Complete	YOtrMO006618	393.3	413
1370304at2759	Complete	YOtrMO008723	295.4	495
1377237at2759	Complete	YOtrMO000779	146.0	138
1379600at2759	Complete	YOtrMO014810	453.8	503
1380409at2759	Complete	YOtrMO002245	192.2	156
1382842at2759	Complete	YOtrMO014808	129.2	120
1395649at2759	Complete	YOtrMO004237	92.1	130
1398309at2759	Complete	YOtrMO009994	85.5	110
1404162at2759	Complete	YOtrMO024405	202.1	190
1405073at2759	Complete	YOtrMO019539	225.4	158
1405146at2759	Complete	YOtrMO021676	137.9	137
1407446at2759	Complete	YOtrMO008905	63.0	111
1421503at2759	Complete	YOtrMO025776	197.3	111
1423847at2759	Complete	YOtrMO003582	273.0	274
1426075at2759	Complete	YOtrMO027445	102.7	96
1428265at2759	Complete	YOtrMO030032	200.8	210
1428854at2759	Complete	YOtrMO001475	451.5	500
1430056at2759	Complete	YOtrMO029314	110.4	131
1432328at2759	Complete	YOtrMO031419	281.0	176
1434266at2759	Missing
1440961at2759	Missing
1441854at2759	Complete	YOtrMO021635	250.5	211
1442062at2759	Complete	YOtrMO019181	130.5	212
1445102at2759	Complete	YOtrMO016336	289.8	191
1450538at2759	Complete	YOtrMO027297	175.6	166
1454155at2759	Complete	YOtrMO008864	80.5	127
1455730at2759	Complete	YOtrMO003476	465.0	353
1459797at2759	Complete	YOtrMO030586	66.9	96
1474000at2759	Complete	YOtrMO014235	116.9	171
1479417at2759	Complete	YOtrMO001138	300.9	176
1488235at2759	Missing
1488436at2759	Missing
1490022at2759	Duplicated	YOtrMO003722	220.2	168
1490022at2759	Duplicated	YOtrMO019295	194.1	169
1504863at2759	Complete	YOtrMO014400	175.9	147
1513531at2759	Complete	YOtrMO019977	288.7	214
1525971at2759	Complete	YOtrMO029961	108.1	79
1526152at2759	Complete	YOtrMO006124	106.9	85
1530008at2759	Complete	YOtrMO012752	122.2	88
1538526at2759	Complete	YOtrMO033180	135.0	104
1545004at2759	Complete	YOtrMO031625	111.3	72
1552706at2759	Missing
1558822at2759	Missing
1563319at2759	Complete	YOtrMO021305	114.7	136
1567796at2759	Complete	YOtrMO020776	142.4	132
1575179at2759	Complete	YOtrMO016859	47.0	57
1576404at2759	Complete	YOtrMO005511	138.9	168
1588798at2759	Complete	YOtrMO013868	111.8	97
1593937at2759	Complete	YOtrMO009164	107.6	150
1617752at2759	Missing
1620056at2759	Complete	YOtrMO006142	72.9	87
1623701at2759	Complete	YOtrMO030724	133.3	90
1626636at2759	Complete	YOtrMO027739	123.1	124
1633672at2759	Missing
1645187at2759	Complete	YOtrMO027888	49.8	54
