# BUSCO version is: 4.1.4 
# The lineage dataset is: diptera_odb10 (Creation date: 2020-08-05, number of species: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
20at7147	Complete	DkoeA00016795-RA	11511.5	7293	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	DkoeA00006188-RA	9141.8	4282	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Fragmented	DkoeA00007286-RA	2410.0	1177	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	DkoeA00012953-RA	4405.1	2206	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Duplicated	DkoeA00001870-RA	4890.8	3123	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
94at7147	Duplicated	DkoeA00001845-RA	4176.7	2665	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	DkoeA00000081-RA	3926.1	2957	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	DkoeA00005097-RA	6227.9	3153	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	DkoeA00009121-RA	4641.8	2984	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	DkoeA00004952-RA	6202.7	3417	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	DkoeA00006762-RA	5501.5	2810	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Missing
287at7147	Complete	DkoeA00008694-RA	4610.9	2523	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	DkoeA00008139-RA	4246.9	2470	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Duplicated	DkoeA00012541-RA	5323.7	2805	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
300at7147	Duplicated	DkoeA00014128-RA	5323.6	2805	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	DkoeA00008712-RA	6291.6	3765	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	DkoeA00013252-RA	6757.2	4089	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	DkoeA00006311-RA	4366.2	2671	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Duplicated	DkoeA00010140-RA	4687.9	2300	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
376at7147	Duplicated	DkoeA00013399-RA	4543.8	2300	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	DkoeA00013251-RA	3214.6	2177	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	DkoeA00008000-RA	3511.2	2513	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Complete	DkoeA00009082-RA	2234.6	1164	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Complete	DkoeA00016847-RA	3565.4	3394	https://www.orthodb.org/v10?query=432at7147	Immunoglobulin-like domain
459at7147	Complete	DkoeA00001257-RA	3554.3	1963	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
466at7147	Complete	DkoeA00011848-RA	3791.2	2032	https://www.orthodb.org/v10?query=466at7147	Serine/threonine-protein kinase TOR
491at7147	Complete	DkoeA00011569-RA	2222.6	1874	https://www.orthodb.org/v10?query=491at7147	Huntingtin protein
508at7147	Complete	DkoeA00004522-RA	2653.5	1815	https://www.orthodb.org/v10?query=508at7147	Vacuolar protein sorting-associated protein 13
509at7147	Missing
516at7147	Duplicated	DkoeA00001819-RA	4308.6	2359	https://www.orthodb.org/v10?query=516at7147	Ubiquitin carboxyl-terminal hydrolase 34
516at7147	Duplicated	DkoeA00001894-RA	4308.6	2359	https://www.orthodb.org/v10?query=516at7147	Ubiquitin carboxyl-terminal hydrolase 34
556at7147	Complete	DkoeA00012704-RA	3310.0	2000	https://www.orthodb.org/v10?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	DkoeA00005441-RA	3098.0	1911	https://www.orthodb.org/v10?query=566at7147	chondroitin sulfate proteoglycan 4
591at7147	Complete	DkoeA00004430-RA	2393.6	1456	https://www.orthodb.org/v10?query=591at7147	protein pecanex
595at7147	Complete	DkoeA00013017-RA	3635.6	2167	https://www.orthodb.org/v10?query=595at7147	HECT domain
597at7147	Complete	DkoeA00017992-RA	3055.4	1786	https://www.orthodb.org/v10?query=597at7147	Translational activator gcn1
608at7147	Missing
610at7147	Complete	DkoeA00001167-RA	3353.5	1896	https://www.orthodb.org/v10?query=610at7147	Leucine-rich repeat
612at7147	Complete	DkoeA00007887-RA	3098.2	1756	https://www.orthodb.org/v10?query=612at7147	CCR4-NOT transcription complex, subunit
626at7147	Complete	DkoeA00012951-RA	2457.3	2093	https://www.orthodb.org/v10?query=626at7147	Immunoglobulin-like domain
648at7147	Complete	DkoeA00008713-RA	4151.5	2056	https://www.orthodb.org/v10?query=648at7147	Spectrin beta chain
698at7147	Complete	DkoeA00009193-RA	4358.1	2280	https://www.orthodb.org/v10?query=698at7147	FERM domain
729at7147	Complete	DkoeA00000856-RA	3895.7	1889	https://www.orthodb.org/v10?query=729at7147	putative U5 small nuclear ribonucleoprotein 200 kDa helicase
745at7147	Complete	DkoeA00006100-RA	2677.2	1531	https://www.orthodb.org/v10?query=745at7147	EGF-like calcium-binding, conserved site
762at7147	Complete	DkoeA00007789-RA	4031.4	2019	https://www.orthodb.org/v10?query=762at7147	dnaJ homolog subfamily C member 13 isoform X1
765at7147	Complete	DkoeA00007714-RA	2225.7	1983	https://www.orthodb.org/v10?query=765at7147	small subunit processome component 20 homolog
784at7147	Complete	DkoeA00005164-RA	3113.8	1703	https://www.orthodb.org/v10?query=784at7147	Dedicator of cytokinesis
811at7147	Complete	DkoeA00004560-RA	3950.5	1909	https://www.orthodb.org/v10?query=811at7147	Acetyl-CoA carboxylase
814at7147	Complete	DkoeA00005666-RA	1673.9	1564	https://www.orthodb.org/v10?query=814at7147	serine/threonine-protein kinase Smg1
824at7147	Complete	DkoeA00010733-RA	2192.8	1128	https://www.orthodb.org/v10?query=824at7147	Carbamoyl-phosphate synthase small subunit, N-terminal domain
839at7147	Complete	DkoeA00001377-RA	1937.2	1373	https://www.orthodb.org/v10?query=839at7147	cadherin-89D
