#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FBtr0301668          -           1318 179362at2759         -            938  1.1e-187  625.7 144.7   1   4   1.4e-84   2.7e-82  276.9   4.7     1   228     7   264     7   271 0.87 -
FBtr0301668          -           1318 179362at2759         -            938  1.1e-187  625.7 144.7   2   4      0.14        26    2.3  37.9   201   455   268   518   259   531 0.40 -
FBtr0301668          -           1318 179362at2759         -            938  1.1e-187  625.7 144.7   3   4   2.4e-07   4.5e-05   21.4  49.5   385   743   594   971   586   973 0.74 -
FBtr0301668          -           1318 179362at2759         -            938  1.1e-187  625.7 144.7   4   4  1.6e-100   3.1e-98  329.7  40.7   570   938   905  1296   892  1296 0.74 -
FBtr0306679          -           1714 179362at2759         -            938   3.5e-07   28.4   1.1   1   3   8.2e-08   1.6e-05   22.9   0.5    18    64   561   603   557   610 0.88 -
FBtr0306679          -           1714 179362at2759         -            938   3.5e-07   28.4   1.1   2   3      0.21        39    1.7   0.1    25    58  1399  1428  1399  1438 0.74 -
FBtr0306679          -           1714 179362at2759         -            938   3.5e-07   28.4   1.1   3   3      0.89   1.7e+02   -0.4   0.0   877   902  1520  1545  1517  1550 0.81 -
FBtr0343647          -            901 179362at2759         -            938   5.7e-07   27.7   0.1   1   4      0.11        21    2.6   0.0    25    52   382   408   382   469 0.72 -
FBtr0343647          -            901 179362at2759         -            938   5.7e-07   27.7   0.1   2   4     0.026       4.9    4.7   0.1   864   925   507   561   506   569 0.82 -
FBtr0343647          -            901 179362at2759         -            938   5.7e-07   27.7   0.1   3   4      0.43        81    0.7   0.0    25    52   705   728   694   731 0.76 -
FBtr0343647          -            901 179362at2759         -            938   5.7e-07   27.7   0.1   4   4     3e-09   5.7e-07   27.7   0.1   864   929   799   857   793   863 0.88 -
FBtr0074290          -           1200 179362at2759         -            938   5.8e-05   21.0  55.0   1   4    0.0027      0.51    8.0   0.0     2    59     7    67     6    89 0.77 -
FBtr0074290          -           1200 179362at2759         -            938   5.8e-05   21.0  55.0   2   4         2   3.8e+02   -1.5  47.9   496   711   172   403   159   407 0.48 -
FBtr0074290          -           1200 179362at2759         -            938   5.8e-05   21.0  55.0   3   4   3.1e-07   5.8e-05   21.0  55.0   487   792   674   989   671   992 0.83 -
FBtr0074290          -           1200 179362at2759         -            938   5.8e-05   21.0  55.0   4   4      0.21        39    1.7   4.6   569   651   960  1042   954  1074 0.83 -
FBtr0113224          -           1135 179362at2759         -            938   0.00012   20.0  53.9   1   1   6.2e-07   0.00012   20.0  53.9   482   750   561   837   553   840 0.85 -
FBtr0084573          -           1122 179362at2759         -            938   0.00031   18.6  88.4   1   3   3.3e-05    0.0062   14.3   0.1    14    78   113   175   107   243 0.77 -
FBtr0084573          -           1122 179362at2759         -            938   0.00031   18.6  88.4   2   3      0.17        32    2.0  45.5   507   751   262   514   238   538 0.68 -
FBtr0084573          -           1122 179362at2759         -            938   0.00031   18.6  88.4   3   3    0.0017      0.32    8.6  30.8   295   553   712   977   706  1005 0.78 -
FBtr0340145          -            127 179362at2759         -            938   0.00047   18.0   5.5   1   1   2.9e-06   0.00056   17.8   5.5   637   731    17   112     4   119 0.59 -
FBtr0307890          -           1459 179362at2759         -            938   0.00048   18.0   1.0   1   2   2.9e-05    0.0055   14.5   0.0    18    65   362   405   355   410 0.81 -
FBtr0307890          -           1459 179362at2759         -            938   0.00048   18.0   1.0   2   2      0.26        49    1.4   0.2    25    36  1167  1178  1163  1186 0.89 -
FBtr0086885          -            407 179362at2759         -            938   0.00057   17.7   1.3   1   1   4.1e-06   0.00077   17.3   1.3   553   618   335   400   320   405 0.91 -
FBtr0072435          -           1253 179362at2759         -            938   0.00092   17.0  25.2   1   1     7e-06    0.0013   16.5  25.2   509   698   423   611   403   638 0.76 -
FBtr0077561          -            676 179362at2759         -            938   0.00096   17.0  14.2   1   4       2.5   4.7e+02   -1.9   1.4   290   616    63   102    18   140 0.49 -
FBtr0077561          -            676 179362at2759         -            938   0.00096   17.0  14.2   2   4       7.5   1.4e+03   -3.4   0.1   511   530   288   307   283   317 0.33 -
FBtr0077561          -            676 179362at2759         -            938   0.00096   17.0  14.2   3   4     0.011         2    6.0  19.6   522   697   360   538   354   543 0.91 -
FBtr0077561          -            676 179362at2759         -            938   0.00096   17.0  14.2   4   4   5.1e-06   0.00096   17.0  14.2   564   694   533   664   532   670 0.92 -
FBtr0080935          -           1409 179362at2759         -            938    0.0018   16.1 136.3   1   5   0.00047     0.089   10.5   0.0    11    43   102   134    95   143 0.81 -
FBtr0080935          -           1409 179362at2759         -            938    0.0018   16.1 136.3   2   5     0.017       3.1    5.4  51.7   493   757   276   538   265   543 0.80 -
FBtr0080935          -           1409 179362at2759         -            938    0.0018   16.1 136.3   3   5    0.0097       1.8    6.1   9.1   188   560   529   596   522   612 0.51 -
FBtr0080935          -           1409 179362at2759         -            938    0.0018   16.1 136.3   4   5     0.031       5.9    4.4  25.7   173   317   765   910   762   915 0.75 -
FBtr0080935          -           1409 179362at2759         -            938    0.0018   16.1 136.3   5   5      0.12        22    2.6  42.0   176   760   876  1144   872  1170 0.37 -
FBtr0332165          -            558 179362at2759         -            938    0.0021   15.9  22.5   1   1   2.1e-05     0.004   14.9  22.5   567   720   377   532   360   554 0.74 -
FBtr0075329          -            408 179362at2759         -            938    0.0024   15.7   3.9   1   1   1.5e-05    0.0028   15.4   3.9   551   642   241   332   236   402 0.87 -
FBtr0074940          -            708 179362at2759         -            938    0.0025   15.6  32.1   1   6     0.099        19    2.8   6.8   188   593    72   165    38   184 0.48 -
FBtr0074940          -            708 179362at2759         -            938    0.0025   15.6  32.1   2   6      0.76   1.4e+02   -0.1   0.0    25    36   208   219   208   225 0.88 -
FBtr0074940          -            708 179362at2759         -            938    0.0025   15.6  32.1   3   6   0.00044     0.083   10.6   0.2   864   925   335   389   334   396 0.84 -
FBtr0074940          -            708 179362at2759         -            938    0.0025   15.6  32.1   4   6      0.57   1.1e+02    0.3   3.3   617   672   400   455   391   475 0.50 -
FBtr0074940          -            708 179362at2759         -            938    0.0025   15.6  32.1   5   6      0.12        23    2.5   0.3    25    36   524   535   522   553 0.85 -
FBtr0074940          -            708 179362at2759         -            938    0.0025   15.6  32.1   6   6   0.00018     0.034   11.9   0.0   864   901   619   656   613   677 0.86 -
FBtr0333123          -            226 179362at2759         -            938    0.0032   15.2   9.0   1   1     2e-05    0.0038   15.0   9.0   567   685    32   148    17   186 0.58 -
FBtr0079428          -            223 179362at2759         -            938    0.0041   14.9   0.6   1   2   2.8e-05    0.0052   14.6   0.0    24    92    11    76    10    83 0.82 -
FBtr0079428          -            223 179362at2759         -            938    0.0041   14.9   0.6   2   2       8.7   1.6e+03   -3.7   0.2   541   570   139   168   119   190 0.45 -
FBtr0479912          -           1725 179362at2759         -            938    0.0044   14.8   0.7   1   3   2.3e-05    0.0044   14.8   0.7    22    61   567   602   563   613 0.87 -
FBtr0479912          -           1725 179362at2759         -            938    0.0044   14.8   0.7   2   3       3.1   5.8e+02   -2.1   0.1    25    57  1391  1419  1377  1429 0.65 -
FBtr0479912          -           1725 179362at2759         -            938    0.0044   14.8   0.7   3   3      0.39        73    0.8   0.3   476   562  1550  1635  1538  1676 0.83 -
FBtr0301828          -           1962 179362at2759         -            938    0.0069   14.1 221.4   1   4     0.016       3.1    5.4  71.6   423   751   843  1188   839  1190 0.66 -
FBtr0301828          -           1962 179362at2759         -            938    0.0069   14.1 221.4   2   4      0.11        21    2.6  40.9   508   748  1133  1361  1126  1368 0.45 -
FBtr0301828          -           1962 179362at2759         -            938    0.0069   14.1 221.4   3   4    0.0079       1.5    6.4  25.1   499   696  1289  1476  1287  1480 0.71 -
FBtr0301828          -           1962 179362at2759         -            938    0.0069   14.1 221.4   4   4   0.00099      0.19    9.4  91.0   176   624  1472  1921  1460  1925 0.71 -
FBtr0300261          -            679 179362at2759         -            938     0.013   13.2  28.4   1   2   0.00055       0.1   10.3   7.5   499   663   242   340   225   407 0.51 -
FBtr0300261          -            679 179362at2759         -            938     0.013   13.2  28.4   2   2    0.0014      0.27    8.9  12.9   630   732   491   589   470   605 0.51 -
FBtr0110941          -           1597 179362at2759         -            938     0.014   13.1   0.1   1   1    0.0002     0.037   11.7   0.1    22    57   492   523   482   533 0.84 -
FBtr0332307          -           1695 179362at2759         -            938     0.019   12.7   0.2   1   2    0.0021       0.4    8.3   0.0    22    67   570   611   565   622 0.83 -
FBtr0332307          -           1695 179362at2759         -            938     0.019   12.7   0.2   2   2      0.15        28    2.2   0.0    25    64  1392  1427  1390  1431 0.85 -
FBtr0081833          -            262 179362at2759         -            938      0.02   12.6  21.6   1   1   0.00013     0.025   12.3  21.6   461   657    50   241    44   260 0.86 -
FBtr0083242          -            263 179362at2759         -            938     0.028   12.1   3.2   1   2   8.6e-05     0.016   12.9   1.7   184   286     4   106     1   115 0.91 -
