#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DkoeA00009431-RA     -           1023 15458at7147          -            812         0 1248.3  21.8   1   3         0         0 1211.7   9.8     4   736    46   881    44   884 0.93 -
DkoeA00009431-RA     -           1023 15458at7147          -            812         0 1248.3  21.8   2   3   2.1e-09   9.1e-06   24.0   0.1   733   773   900   942   887   958 0.74 -
DkoeA00009431-RA     -           1023 15458at7147          -            812         0 1248.3  21.8   3   3   4.9e-08   0.00022   19.5   1.4   764   804   959  1003   954  1017 0.85 -
DkoeA00008968-RA     -           1049 15458at7147          -            812   4.1e-11   41.7  10.1   1   4      0.37   1.6e+03   -3.3   0.0    16    45    42    72    30   101 0.73 -
DkoeA00008968-RA     -           1049 15458at7147          -            812   4.1e-11   41.7  10.1   2   4      0.12   5.2e+02   -1.6   0.3   164   229   176   242   153   258 0.63 -
DkoeA00008968-RA     -           1049 15458at7147          -            812   4.1e-11   41.7  10.1   3   4   0.00047         2    6.3   0.9   200   303   562   666   558   685 0.73 -
DkoeA00008968-RA     -           1049 15458at7147          -            812   4.1e-11   41.7  10.1   4   4   1.6e-14     7e-11   40.9   1.6   488   775   611   898   610   931 0.74 -
DkoeA00010013-RA     -            460 15458at7147          -            812      0.61    8.0   1.4   1   1   0.00022      0.97    7.4   1.4   744   791   109   158   102   167 0.79 -
DkoeA00000913-RA     -             63 15458at7147          -            812       6.7    4.6   7.3   1   1    0.0015       6.6    4.6   7.3   757   794    24    61     8    63 0.62 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/15458at7147.hmm
# Target file:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/DkoeA_proteins.fasta
# Option settings: /home/nmoreyra/Software/miniconda3/envs/busco4/bin/hmmsearch --domtblout /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/DkoeA_diptera/run_diptera_odb10/hmmer_output/initial_run_results/15458at7147.out --cpu 1 /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/15458at7147.hmm /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/DkoeA_proteins.fasta 
# Current dir:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10
# Date:            Mon Jan 25 13:51:29 2021
# [ok]
