#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DkoeB00005273-RA     -           1366 3551at7147           -            557         0 1058.5  33.4   1   5  8.5e-287  1.5e-284  944.4   1.9     1   451   494   991   494  1002 0.94 -
DkoeB00005273-RA     -           1366 3551at7147           -            557         0 1058.5  33.4   2   5   1.3e-07   2.3e-05   22.7   3.2   439   484  1002  1048   992  1057 0.81 -
DkoeB00005273-RA     -           1366 3551at7147           -            557         0 1058.5  33.4   3   5   4.5e-17   7.7e-15   54.0   2.0   460   515  1078  1133  1056  1141 0.80 -
DkoeB00005273-RA     -           1366 3551at7147           -            557         0 1058.5  33.4   4   5   1.7e-08   2.8e-06   25.7   1.0   506   540  1162  1196  1155  1214 0.87 -
DkoeB00005273-RA     -           1366 3551at7147           -            557         0 1058.5  33.4   5   5   1.1e-07   1.9e-05   23.0   0.1   532   557  1237  1262  1201  1262 0.83 -
DkoeB00002719-RA     -           1545 3551at7147           -            557  2.4e-136  455.1   0.2   1   1  4.9e-138  8.4e-136  453.3   0.2     1   435   608  1086   608  1109 0.87 -
DkoeB00009774-RA     -           1249 3551at7147           -            557  1.3e-132  442.7   0.2   1   2   4.2e-29   7.2e-27   93.7   0.0     1    97   615   709   615   728 0.92 -
DkoeB00009774-RA     -           1249 3551at7147           -            557  1.3e-132  442.7   0.2   2   2  2.1e-105  3.6e-103  345.6   0.1    79   426   728  1101   717  1110 0.88 -
DkoeB00005792-RA     -           1486 3551at7147           -            557  2.9e-128  428.4   0.1   1   1  6.4e-130  1.1e-127  426.5   0.1     6   438   683  1167   678  1270 0.81 -
DkoeB00006015-RA     -           1171 3551at7147           -            557  5.8e-125  417.5   0.0   1   1  1.6e-126  2.8e-124  415.2   0.0    13   442   677  1145   665  1150 0.88 -
DkoeB00008912-RA     -           1303 3551at7147           -            557  1.4e-120  403.0   0.0   1   1  2.9e-122    5e-120  401.2   0.0     5   426   726  1185   722  1196 0.89 -
DkoeB00007580-RA     -            747 3551at7147           -            557   2.3e-62  210.8   0.4   1   1   9.2e-64   1.6e-61  208.1   0.4   226   428   487   711   469   718 0.88 -
DkoeB00008395-RA     -           1079 3551at7147           -            557   5.7e-45  153.4   0.4   1   1   3.3e-47   5.7e-45  153.4   0.4   225   424   374   594   364   603 0.86 -
DkoeB00005141-RA     -            677 3551at7147           -            557   1.1e-39  136.0   0.0   1   1   9.9e-42   1.7e-39  135.4   0.0   218   386   415   581   405   601 0.93 -
DkoeB00001511-RA     -           1915 3551at7147           -            557     1e-37  129.5   0.2   1   2   1.4e-24   2.3e-22   78.8   0.0   235   382   801   956   787   983 0.86 -
DkoeB00001511-RA     -           1915 3551at7147           -            557     1e-37  129.5   0.2   2   2   7.1e-15   1.2e-12   46.7   0.0   230   453  1319  1576  1301  1584 0.71 -
DkoeB00004491-RA     -            656 3551at7147           -            557   4.1e-36  124.2   0.1   1   1   3.4e-38   5.8e-36  123.7   0.1   208   386   442   627   399   644 0.84 -
DkoeB00000207-RA     -           1720 3551at7147           -            557   5.2e-33  114.0   0.1   1   2   1.9e-20   3.2e-18   65.1   0.1   264   381   343   458   330   481 0.91 -
DkoeB00000207-RA     -           1720 3551at7147           -            557   5.2e-33  114.0   0.1   2   2   2.3e-14   3.9e-12   45.0   0.0   236   426  1375  1591  1356  1602 0.76 -
DkoeB00004163-RA     -           1172 3551at7147           -            557   8.9e-33  113.2   0.2   1   2   1.7e-22   2.9e-20   71.9   0.0   238   380   268   417   247   459 0.80 -
DkoeB00004163-RA     -           1172 3551at7147           -            557   8.9e-33  113.2   0.2   2   2   4.5e-12   7.7e-10   37.5   0.1   227   427   855  1096   844  1116 0.69 -
DkoeB00000651-RA     -           2234 3551at7147           -            557   4.8e-31  107.5   1.5   1   2   1.2e-24   2.1e-22   78.9   0.1   228   381   225   384   203   405 0.85 -
DkoeB00000651-RA     -           2234 3551at7147           -            557   4.8e-31  107.5   1.5   2   2   1.2e-08   2.1e-06   26.1   0.0   230   425   906  1141   896  1175 0.69 -
DkoeB00005410-RA     -            668 3551at7147           -            557   1.1e-30  106.3   0.3   1   1   3.2e-32   5.5e-30  104.0   0.3   209   424   434   662   423   666 0.84 -
DkoeB00009291-RA     -           1260 3551at7147           -            557     2e-29  102.1   2.4   1   3      0.61     1e+02    0.7   0.0   229   260   200   231   192   241 0.83 -
DkoeB00009291-RA     -           1260 3551at7147           -            557     2e-29  102.1   2.4   2   3     1e-22   1.8e-20   72.6   0.1   263   381   257   373   245   403 0.92 -
DkoeB00009291-RA     -           1260 3551at7147           -            557     2e-29  102.1   2.4   3   3   1.6e-08   2.7e-06   25.7   0.0   230   423  1020  1252  1003  1260 0.64 -
DkoeB00009588-RA     -           1894 3551at7147           -            557   4.6e-25   87.7   0.2   1   2   4.1e-17     7e-15   54.1   0.1   235   381   790   951   775  1073 0.67 -
DkoeB00009588-RA     -           1894 3551at7147           -            557   4.6e-25   87.7   0.2   2   2   1.2e-09     2e-07   29.5   0.0   270   437  1592  1790  1535  1808 0.63 -
DkoeB00009912-RA     -            468 3551at7147           -            557     2e-24   85.6   0.8   1   3   5.1e-13   8.8e-11   40.6   0.0     1   131    63   197    63   203 0.90 -
DkoeB00009912-RA     -            468 3551at7147           -            557     2e-24   85.6   0.8   2   3     0.072        12    3.8   0.1   173   195   226   248   209   274 0.83 -
DkoeB00009912-RA     -            468 3551at7147           -            557     2e-24   85.6   0.8   3   3   2.2e-12   3.8e-10   38.5   0.0    16   193   282   454   269   460 0.75 -
DkoeB00002369-RA     -           1144 3551at7147           -            557   1.2e-21   76.4   1.9   1   3   9.5e-18   1.6e-15   56.2   0.1   264   381   314   429   308   465 0.89 -
DkoeB00002369-RA     -           1144 3551at7147           -            557   1.2e-21   76.4   1.9   2   3    0.0013      0.23    9.5   0.2   218   334   817   934   803   965 0.71 -
DkoeB00002369-RA     -           1144 3551at7147           -            557   1.2e-21   76.4   1.9   3   3    0.0045      0.78    7.7   0.0   336   386  1010  1066   988  1144 0.65 -
DkoeB00009756-RA     -           1136 3551at7147           -            557   3.1e-19   68.5   7.4   1   3   2.2e-18   3.8e-16   58.3   0.2   263   380   293   408   273   430 0.90 -
DkoeB00009756-RA     -           1136 3551at7147           -            557   3.1e-19   68.5   7.4   2   3   0.00051     0.088   10.9   1.5   217   330   794   906   747   931 0.75 -
DkoeB00009756-RA     -           1136 3551at7147           -            557   3.1e-19   68.5   7.4   3   3      0.64   1.1e+02    0.6   0.0   326   381   941  1001   931  1064 0.74 -
DkoeB00004189-RA     -            266 3551at7147           -            557   1.1e-18   66.6   0.0   1   1   8.2e-21   1.4e-18   66.3   0.0     3   190    64   256    62   265 0.87 -
DkoeB00009166-RA     -            265 3551at7147           -            557   4.7e-18   64.6   0.1   1   1   3.4e-20   5.8e-18   64.3   0.1     1   202    50   257    50   263 0.78 -
DkoeB00000600-RA     -           1255 3551at7147           -            557     6e-18   64.2   0.0   1   2   0.00017      0.03   12.4   0.0    16   196   677   859   666   879 0.79 -
DkoeB00000600-RA     -           1255 3551at7147           -            557     6e-18   64.2   0.0   2   2     1e-15   1.8e-13   49.5   0.0    17   194  1008  1190   996  1240 0.80 -
DkoeB00009927-RA     -            578 3551at7147           -            557   3.3e-17   61.8   0.0   1   1   2.6e-19   4.4e-17   61.4   0.0     3   193   374   566   372   574 0.82 -
DkoeB00009778-RA     -           1083 3551at7147           -            557   1.9e-16   59.3   4.6   1   2   3.9e-15   6.8e-13   47.6   0.4   258   381   284   405   267   431 0.89 -
DkoeB00009778-RA     -           1083 3551at7147           -            557   1.9e-16   59.3   4.6   2   2   0.00015     0.025   12.7   0.4   224   335   794   905   784   915 0.81 -
DkoeB00008574-RA     -           2197 3551at7147           -            557   8.8e-15   53.8   0.0   1   1     9e-17   1.5e-14   53.0   0.0    48   227  1530  1708  1521  1724 0.76 -
DkoeB00009779-RA     -           1106 3551at7147           -            557   1.2e-14   53.3   3.7   1   3   3.9e-15   6.7e-13   47.6   0.7   264   382   287   403   281   446 0.83 -
DkoeB00009779-RA     -           1106 3551at7147           -            557   1.2e-14   53.3   3.7   2   3      0.22        38    2.1   0.1   248   331   818   902   777   909 0.62 -
DkoeB00009779-RA     -           1106 3551at7147           -            557   1.2e-14   53.3   3.7   3   3      0.35        60    1.5   0.0   338   439   948  1075   933  1097 0.51 -
DkoeB00002898-RA     -           1015 3551at7147           -            557   1.6e-14   53.0   0.1   1   1   1.3e-16   2.2e-14   52.4   0.1     6   190   232   413   227   423 0.82 -
DkoeB00003954-RA     -            360 3551at7147           -            557   7.3e-14   50.7   0.1   1   2       4.6   7.8e+02   -2.2   0.0    17    46    61    89    54    92 0.84 -
DkoeB00003954-RA     -            360 3551at7147           -            557   7.3e-14   50.7   0.1   2   2     1e-15   1.7e-13   49.5   0.0     1   189   143   336   143   343 0.82 -
DkoeB00013166-RA     -           1853 3551at7147           -            557   9.8e-14   50.3   0.0   1   1   8.6e-16   1.5e-13   49.7   0.0    13   242   190   426   179   444 0.72 -
DkoeB00008481-RA     -            710 3551at7147           -            557   1.2e-13   50.0   0.0   1   1   1.1e-15   1.8e-13   49.4   0.0    49   198   518   670   512   689 0.78 -
DkoeB00009821-RA     -           1049 3551at7147           -            557   1.8e-13   49.5   2.6   1   3     5e-13   8.5e-11   40.6   0.1   258   346   284   372   261   397 0.87 -
DkoeB00009821-RA     -           1049 3551at7147           -            557   1.8e-13   49.5   2.6   2   3    0.0043      0.73    7.8   0.1   235   335   770   871   742   891 0.65 -
DkoeB00009821-RA     -           1049 3551at7147           -            557   1.8e-13   49.5   2.6   3   3         4   6.9e+02   -2.0   0.0   364   382   945   963   911  1030 0.56 -
DkoeB00002428-RA     -           1102 3551at7147           -            557   2.4e-12   45.7   0.0   1   1     2e-14   3.4e-12   45.2   0.0    15   193   205   386   192   392 0.80 -
DkoeB00001687-RA     -           1150 3551at7147           -            557   4.1e-12   45.0   0.0   1   2   0.00035     0.061   11.4   0.0    49   114   899   962   893   977 0.84 -
DkoeB00001687-RA     -           1150 3551at7147           -            557   4.1e-12   45.0   0.0   2   2   4.4e-10   7.6e-08   30.9   0.0    94   190  1006  1099  1000  1110 0.84 -
DkoeB00011158-RA     -           1246 3551at7147           -            557   5.7e-12   44.5   1.2   1   2   2.4e-11   4.2e-09   35.0   0.1     4    94   450   539   447   546 0.90 -
DkoeB00011158-RA     -           1246 3551at7147           -            557   5.7e-12   44.5   1.2   2   2    0.0054      0.92    7.5   0.1   104   136   584   618   574   678 0.69 -
DkoeB00009112-RA     -           1271 3551at7147           -            557   1.3e-11   43.4   0.0   1   1   1.1e-13   1.9e-11   42.7   0.0    41   256   997  1219   965  1228 0.76 -
DkoeB00010313-RA     -            758 3551at7147           -            557   2.8e-11   42.2   0.0   1   1   3.4e-13   5.9e-11   41.2   0.0    67   192   608   731   604   746 0.86 -
DkoeB00006509-RA     -           1504 3551at7147           -            557   2.9e-11   42.2   0.1   1   1   2.6e-13   4.4e-11   41.6   0.1    17   194   550   729   536   747 0.82 -
DkoeB00008841-RA     -            632 3551at7147           -            557   9.3e-11   40.5   0.0   1   2         9   1.5e+03   -3.1   0.0   278   305   391   418   364   429 0.84 -
DkoeB00008841-RA     -            632 3551at7147           -            557   9.3e-11   40.5   0.0   2   2   1.2e-12     2e-10   39.4   0.0    48   190   472   615   462   626 0.85 -
DkoeB00013806-RA     -            620 3551at7147           -            557   1.1e-10   40.3   0.1   1   2   1.3e-07   2.2e-05   22.7   0.0    53   139   155   242   148   263 0.87 -
DkoeB00013806-RA     -            620 3551at7147           -            557   1.1e-10   40.3   0.1   2   2   2.3e-05    0.0039   15.3   0.0    52   141   427   517   420   530 0.86 -
DkoeB00004833-RA     -            620 3551at7147           -            557   1.1e-10   40.3   0.1   1   2   1.3e-07   2.2e-05   22.7   0.0    53   139   155   242   148   263 0.87 -
DkoeB00004833-RA     -            620 3551at7147           -            557   1.1e-10   40.3   0.1   2   2   2.3e-05    0.0039   15.3   0.0    52   141   427   517   420   530 0.86 -
DkoeB00004907-RA     -            269 3551at7147           -            557   1.7e-10   39.6   0.1   1   1   1.3e-12   2.2e-10   39.3   0.1     2   187    63   248    62   257 0.85 -
DkoeB00010824-RA     -           1244 3551at7147           -            557   1.9e-10   39.5   0.0   1   1   1.7e-12   2.9e-10   38.9   0.0    16   135   201   329   186   336 0.83 -
DkoeB00006261-RA     -            929 3551at7147           -            557     1e-09   37.0   0.0   1   1   1.1e-11   1.9e-09   36.2   0.0    15   193   727   908   715   914 0.77 -
DkoeB00008271-RA     -            493 3551at7147           -            557   4.2e-09   35.0   0.0   1   1   3.5e-11     6e-09   34.5   0.0     3   189    69   256    67   264 0.81 -
DkoeB00000266-RA     -            702 3551at7147           -            557   9.1e-09   33.9   0.0   1   1   9.2e-11   1.6e-08   33.1   0.0     1   190    71   261    71   270 0.83 -
DkoeB00002370-RA     -           1062 3551at7147           -            557   1.6e-08   33.1   1.6   1   3   3.6e-08   6.2e-06   24.6   0.1   262   380   252   367   213   460 0.85 -
DkoeB00002370-RA     -           1062 3551at7147           -            557   1.6e-08   33.1   1.6   2   3       1.6   2.8e+02   -0.7   0.1   264   328   811   873   755   886 0.62 -
DkoeB00002370-RA     -           1062 3551at7147           -            557   1.6e-08   33.1   1.6   3   3     0.016       2.8    5.9   0.0   352   380   925   953   906  1014 0.86 -
DkoeB00003654-RA     -            898 3551at7147           -            557   4.6e-08   31.6   0.0   1   1   4.4e-10   7.6e-08   30.9   0.0    11   163    78   230    66   249 0.81 -
DkoeB00002343-RA     -            375 3551at7147           -            557   8.4e-08   30.7   0.0   1   1   7.2e-10   1.2e-07   30.2   0.0    46   133    91   184    73   199 0.83 -
DkoeB00002843-RA     -           1984 3551at7147           -            557   9.1e-08   30.6   0.0   1   2   2.6e-06   0.00044   18.5   0.0    36   164   973  1110   943  1136 0.74 -
