# BUSCO version is: 4.1.4 
# The lineage dataset is: diptera_odb10 (Creation date: 2020-08-05, number of species: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
20at7147	Complete	Dbrb05538-RA	10961.3	6626	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	Dbrb01244-RA	9128.9	4287	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Complete	Dbrb03082-RA	8548.1	4045	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	Dbrb08167-RA	4356.7	2213	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Complete	Dbrb06588-RA	4799.3	3032	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	Dbrb04098-RA	3931.3	2976	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	Dbrb11063-RA	6294.2	3165	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	Dbrb03858-RA	4649.4	2996	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	Dbrb03241-RA	6209.6	3416	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	Dbrb01957-RA	5500.3	2808	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Missing
287at7147	Complete	Dbrb04729-RA	4616.2	2523	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	Dbrb07505-RA	4253.1	2472	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Complete	Dbrb09017-RA	5246.8	2792	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	Dbrb04748-RA	5117.2	2834	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	Dbrb15548-RA	6754.3	4094	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	Dbrb01128-RA	4363.7	2671	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	Dbrb08558-RA	4686.7	2303	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	Dbrb15547-RA	3200.2	2238	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	Dbrb02331-RA	5439.6	4333	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Complete	Dbrb03897-RA	2221.4	1172	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Missing
459at7147	Complete	Dbrb05855-RA	3523.9	1963	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
466at7147	Complete	Dbrb07083-RA	3789.7	2062	https://www.orthodb.org/v10?query=466at7147	Serine/threonine-protein kinase TOR
491at7147	Complete	Dbrb05651-RA	1487.8	1259	https://www.orthodb.org/v10?query=491at7147	Huntingtin protein
508at7147	Complete	Dbrb01681-RA	3528.7	2557	https://www.orthodb.org/v10?query=508at7147	Vacuolar protein sorting-associated protein 13
