#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DkoeB00005859-RA     -           1398 2789at7147           -            998         0 1063.9  43.1   1   4  2.1e-165  4.2e-162  540.9  11.5    18   611    49   822     1   830 0.81 -
DkoeB00005859-RA     -           1398 2789at7147           -            998         0 1063.9  43.1   2   4   9.1e-16   1.8e-12   45.5   0.3   610   682   850   939   825   997 0.75 -
DkoeB00005859-RA     -           1398 2789at7147           -            998         0 1063.9  43.1   3   4    0.0054        11    3.2   0.0   691   723  1052  1081  1045  1092 0.73 -
DkoeB00005859-RA     -           1398 2789at7147           -            998         0 1063.9  43.1   4   4  2.5e-145  5.1e-142  474.4  15.7   704   998  1092  1393  1081  1393 0.96 -
DkoeB00000919-RA     -            712 2789at7147           -            998     2e-12   45.4  33.7   1   6   0.00085       1.7    5.9   0.9   761   788    77   104    53   110 0.90 -
DkoeB00000919-RA     -            712 2789at7147           -            998     2e-12   45.4  33.7   2   6   2.4e-06    0.0049   14.3   2.5   927   990   109   169   107   177 0.81 -
DkoeB00000919-RA     -            712 2789at7147           -            998     2e-12   45.4  33.7   3   6   1.8e-06    0.0036   14.8   0.6   930   994   179   239   158   243 0.92 -
DkoeB00000919-RA     -            712 2789at7147           -            998     2e-12   45.4  33.7   4   6     0.002       4.1    4.7   0.1   943   987   262   305   259   312 0.86 -
DkoeB00000919-RA     -            712 2789at7147           -            998     2e-12   45.4  33.7   5   6   4.1e-08   8.3e-05   20.2   4.1   747   986   312   531   306   543 0.87 -
DkoeB00000919-RA     -            712 2789at7147           -            998     2e-12   45.4  33.7   6   6      0.26   5.3e+02   -2.3   0.0   943   987   568   615   564   619 0.83 -
DkoeB00006153-RA     -            867 2789at7147           -            998   7.2e-12   43.6  15.4   1   4   3.5e-05     0.071   10.5   0.1   746   811    94   159    76   224 0.86 -
DkoeB00006153-RA     -            867 2789at7147           -            998   7.2e-12   43.6  15.4   2   4     2e-05      0.04   11.3   0.0   930   977   256   303   249   315 0.92 -
DkoeB00006153-RA     -            867 2789at7147           -            998   7.2e-12   43.6  15.4   3   4   4.2e-08   8.4e-05   20.2   5.3   761   996   395   623   387   625 0.82 -
DkoeB00006153-RA     -            867 2789at7147           -            998   7.2e-12   43.6  15.4   4   4    0.0017       3.5    4.9   0.0   946   980   646   679   629   685 0.85 -
DkoeB00002871-RA     -            974 2789at7147           -            998   4.1e-05   21.2   6.0   1   3   0.00027      0.54    7.6   0.6   849   988   352   477   343   483 0.78 -
DkoeB00002871-RA     -            974 2789at7147           -            998   4.1e-05   21.2   6.0   2   3   4.1e-05     0.083   10.3   0.1   843   954   547   658   515   659 0.81 -
DkoeB00002871-RA     -            974 2789at7147           -            998   4.1e-05   21.2   6.0   3   3   0.00024      0.48    7.7   0.1   755   941   627   814   622   826 0.84 -
DkoeB00001080-RA     -            733 2789at7147           -            998   0.00026   18.5   5.2   1   4   0.00022      0.43    7.9   1.0   912   988    50   124    38   131 0.85 -
DkoeB00001080-RA     -            733 2789at7147           -            998   0.00026   18.5   5.2   2   4     0.055   1.1e+02   -0.1   0.1   591   972   155   192   143   216 0.71 -
DkoeB00001080-RA     -            733 2789at7147           -            998   0.00026   18.5   5.2   3   4     0.015        29    1.8   0.0   754   803   370   419   356   435 0.84 -
DkoeB00001080-RA     -            733 2789at7147           -            998   0.00026   18.5   5.2   4   4   0.00056       1.1    6.5   0.0   933   989   450   507   446   513 0.91 -
DkoeB00006645-RA     -            934 2789at7147           -            998     0.019   12.4   0.7   1   1   1.3e-05     0.026   11.9   0.7   794   895   602   708   581   779 0.81 -
DkoeB00011914-RA     -            562 2789at7147           -            998       1.7    5.9   4.4   1   1    0.0011       2.2    5.6   4.4   667   744   465   541   456   561 0.71 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/2789at7147.hmm
# Target file:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/DkoeB_proteins.fasta
# Option settings: /home/nmoreyra/Software/miniconda3/envs/busco4/bin/hmmsearch --domtblout /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/DkoeB_diptera/run_diptera_odb10/hmmer_output/initial_run_results/2789at7147.out --cpu 1 /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/2789at7147.hmm /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/DkoeB_proteins.fasta 
# Current dir:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10
# Date:            Mon Jan 25 14:08:42 2021
# [ok]
