# BUSCO version is: 4.1.4 
# The lineage dataset is: diptera_odb10 (Creation date: 2020-08-05, number of species: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
20at7147	Complete	Dbuz11967-RA	11311.2	7108	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	Dbuz10399-RA	9122.4	4272	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Complete	Dbuz07336-RA	8524.2	4020	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	Dbuz03898-RA	7444.7	4181	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Complete	Dbuz01407-RA	4927.5	3126	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	Dbuz05003-RA	3931.6	2952	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	Dbuz10675-RA	6294.0	3165	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	Dbuz04419-RA	4632.7	2992	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	Dbuz11006-RA	6199.5	3416	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	Dbuz11235-RA	5500.5	2810	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Missing
287at7147	Complete	Dbuz08466-RA	4613.0	2521	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	Dbuz03034-RA	4249.5	2472	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Complete	Dbuz02680-RA	5339.0	2823	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	Dbuz08485-RA	6263.5	3676	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	Dbuz09728-RA	6749.1	4112	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	Dbuz09400-RA	4395.8	2658	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	Dbuz01786-RA	4676.3	2318	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	Dbuz09729-RA	3211.9	2174	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	Dbuz09259-RA	5449.6	4342	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Duplicated	Dbuz04453-RA	2475.8	1435	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
423at7147	Duplicated	Dbuz04459-RA	2169.2	1167	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Missing
459at7147	Complete	Dbuz00774-RA	3555.1	1963	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
