#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DALD010760-1.p1      -           1313 179362at2759         -            938    9e-186  619.5 143.0   1   4   7.9e-87   1.2e-84  284.8  68.7     1   619     7   639     7   645 0.74 -
DALD010760-1.p1      -           1313 179362at2759         -            938    9e-186  619.5 143.0   2   4   3.6e-08   5.5e-06   24.5  34.3   454   743   664   971   654   973 0.67 -
DALD010760-1.p1      -           1313 179362at2759         -            938    9e-186  619.5 143.0   3   4   4.2e-08   6.4e-06   24.2  38.6   487   743   802  1067   798  1078 0.82 -
DALD010760-1.p1      -           1313 179362at2759         -            938    9e-186  619.5 143.0   4   4   7.8e-93   1.2e-90  304.7   9.0   706   938  1054  1296  1050  1296 0.90 -
DALD012003-1.p1      -           1983 179362at2759         -            938   2.9e-07   28.7  87.5   1   3   7.5e-06    0.0011   16.8   0.0    15    80   974  1037   961  1104 0.76 -
DALD012003-1.p1      -           1983 179362at2759         -            938   2.9e-07   28.7  87.5   2   3    0.0089       1.4    6.6  39.3   508   757  1137  1384  1120  1398 0.55 -
DALD012003-1.p1      -           1983 179362at2759         -            938   2.9e-07   28.7  87.5   3   3   0.00088      0.13    9.9  39.4   502   740  1588  1825  1575  1862 0.79 -
DALD000104-1.p1      -            933 179362at2759         -            938   6.2e-07   27.6   0.1   1   4      0.21        32    2.1   0.0    25    38   413   426   413   501 0.72 -
DALD000104-1.p1      -            933 179362at2759         -            938   6.2e-07   27.6   0.1   2   4     0.034       5.1    4.7   0.1   864   926   538   593   537   604 0.83 -
DALD000104-1.p1      -            933 179362at2759         -            938   6.2e-07   27.6   0.1   3   4      0.64        98    0.5   0.0    25    52   736   759   733   762 0.72 -
DALD000104-1.p1      -            933 179362at2759         -            938   6.2e-07   27.6   0.1   4   4   4.1e-09   6.2e-07   27.6   0.1   864   929   830   888   824   894 0.88 -
DALD009013-1.p1      -            687 179362at2759         -            938   6.5e-07   27.5  71.0   1   2     1e-06   0.00015   19.7  25.9   559   697   134   275    92   285 0.75 -
DALD009013-1.p1      -            687 179362at2759         -            938   6.5e-07   27.5  71.0   2   2   8.2e-05     0.012   13.4  37.1   408   691   325   623   320   642 0.63 -
DALD001000-1.p1      -           1201 179362at2759         -            938   1.1e-05   23.4  55.1   1   4    0.0031      0.46    8.2   0.0     2    59     7    67     6    90 0.78 -
DALD001000-1.p1      -           1201 179362at2759         -            938   1.1e-05   23.4  55.1   2   4       4.9   7.5e+02   -2.5  45.3   493   706   169   398   159   404 0.54 -
DALD001000-1.p1      -           1201 179362at2759         -            938   1.1e-05   23.4  55.1   3   4     0.043       6.5    4.4  18.4   200   300   398   500   383   511 0.49 -
